Name,Artist,Popularity,Valence,Energy,Tempo,Acousticness,Danceability,Duration,Instrumentalness,Liveness,Loudness,Speechiness,Mode,Album,year,period
e.i.,nelly,59.0,0.406,0.481,89.849,0.0732,0.834,285907.0,0.0,0.0934,-7.824,0.188,0.0,Country Grammar,2000.0,pre_ai
e.t.,katy perry,66.0,0.691,0.872,150.104,0.0213,0.603,206373.0,0.0,0.366,-5.404,0.0792,0.0,Katy Perry - Teenage Dream: The Complete Confection,2011.0,pre_ai
earth intruders,bjork,29.0,0.18,0.948,108.981,0.395,0.626,373853.0,0.00278,0.385,-7.838,0.27,1.0,Volta,2007.0,pre_ai
easy,rascal flatts,29.0,0.531,0.576,118.885,0.136,0.349,219101.0,0.0,0.134,-5.111,0.0339,1.0,Nothing Like This,2011.0,pre_ai
easy,sheryl crow,23.0,0.608,0.571,169.994,0.0256,0.522,253360.0,1.14e-06,0.0757,-5.567,0.0245,1.0,Feels Like Home,2013.0,pre_ai
echo,gorilla zoe,18.0,0.562,0.737,108.029,0.0738,0.808,237773.0,0.0,0.0743,-5.858,0.0458,0.0,Don't Feed Da Animals,2009.0,pre_ai
ego,beyonce,23.0,0.5,0.391,89.598,0.164,0.501,236400.0,0.0,0.228,-7.723,0.232,1.0,I AM...SASHA FIERCE NEW DELUXE EDITION,2009.0,pre_ai
eight second ride,jake owen,57.0,0.534,0.843,92.357,0.104,0.645,187320.0,0.0,0.249,-4.072,0.0475,1.0,Easy Does It,2006.0,pre_ai
el amante,nicky jam,47.0,0.732,0.691,179.91,0.243,0.683,219507.0,0.0,0.14,-5.535,0.0432,1.0,Fenix,2017.0,post_ai
el cerrito place,kenny chesney,47.0,0.262,0.503,134.032,0.13,0.596,351613.0,0.0,0.0754,-7.606,0.0272,1.0,Welcome To The Fishbowl,2012.0,pre_ai
el perdedor,enrique iglesias,19.0,0.297,0.47,137.794,0.722,0.642,191480.0,0.0,0.116,-5.899,0.0431,0.0,S** AND LOVE (Deluxe),2013.0,pre_ai
element.,kendrick lamar,73.0,0.483,0.705,189.891,0.204,0.748,208733.0,0.0,0.246,-4.547,0.485,0.0,DAMN.,2017.0,post_ai
elevate,drake,69.0,0.0541,0.474,76.062,0.015,0.758,184960.0,0.0,0.116,-8.72,0.146,1.0,Scorpion,2018.0,post_ai
elevator,eminem,52.0,0.559,0.795,90.488,0.328,0.783,292933.0,0.0,0.332,-3.827,0.327,0.0,Relapse: Refill,2009.0,pre_ai
emoji a chain,migos,57.0,0.381,0.333,139.965,0.0348,0.891,315185.0,0.0,0.126,-8.316,0.175,1.0,Culture II,2018.0,post_ai
emotional,carl thomas,49.0,0.389,0.542,83.106,0.544,0.548,271868.0,0.0,0.148,-8.435,0.0409,0.0,Emotional,2000.0,pre_ai
emotionless,drake,69.0,0.0845,0.677,172.501,0.0249,0.413,302173.0,0.0,0.0793,-5.12,0.255,1.0,Scorpion,2018.0,post_ai
emperor's new clothes,panic! at the disco,73.0,0.651,0.904,94.481,0.00302,0.562,158667.0,0.0,0.0433,-4.947,0.0807,1.0,Death of a Bachelor,2015.0,post_ai
empty walls,serj tankian,63.0,0.528,0.963,160.071,0.00161,0.464,230027.0,0.0,0.196,-3.568,0.0484,0.0,Elect the Dead (Deluxe),2007.0,pre_ai
enchanted,taylor swift,54.0,0.208,0.623,163.893,0.0739,0.455,352187.0,0.000424,0.146,-3.878,0.0288,1.0,Speak Now (Deluxe Edition),2010.0,pre_ai
end game,taylor swift,70.0,0.151,0.589,159.073,0.00845,0.649,244827.0,0.0,0.108,-6.237,0.0558,1.0,reputation,2017.0,post_ai
energy,drake,71.0,0.571,0.571,172.056,0.329,0.743,181933.0,0.0,0.522,-8.038,0.505,1.0,If You're Reading This It's Too Late,2015.0,post_ai
enough of no love,keyshia cole,15.0,0.467,0.622,86.954,0.0214,0.61,229427.0,0.0,0.28,-5.814,0.136,0.0,Woman To Woman (Deluxe Version),2012.0,pre_ai
entourage,omarion,25.0,0.928,0.799,106.498,0.0375,0.825,235067.0,0.0,0.156,-1.54,0.0387,0.0,21,2006.0,pre_ai
eraser,ed sheeran,68.0,0.914,0.812,86.013,0.086,0.64,227427.0,0.0,0.0509,-5.647,0.0834,0.0,÷ (Deluxe),2017.0,post_ai
escape,enrique iglesias,48.0,0.876,0.832,125.992,0.0287,0.78,208627.0,0.000394,0.15,-5.253,0.0301,1.0,Escape,2002.0,pre_ai
ever the same,rob thomas,32.0,0.524,0.729,188.017,0.0152,0.435,256600.0,2.63e-05,0.11,-4.818,0.0307,0.0,Something To Be (Deluxe),2005.0,pre_ai
every day,rascal flatts,27.0,0.239,0.726,169.367,0.0301,0.211,255653.0,0.0,0.0879,-5.406,0.0481,1.0,Rascal Flatts,2008.0,pre_ai
every day is exactly the same,nine inch nails,51.0,0.414,0.941,144.04,0.0217,0.607,294893.0,0.071,0.119,-6.163,0.0486,1.0,With Teeth (Bonus Tracks),2005.0,pre_ai
every mile a memory,dierks bentley,45.0,0.392,0.703,177.915,0.0803,0.452,232720.0,0.00131,0.162,-4.903,0.0356,1.0,Long Trip Alone,2006.0,pre_ai
every time i hear that song,blake shelton,60.0,0.528,0.725,155.855,0.0558,0.523,214800.0,6.96e-06,0.0937,-5.448,0.0339,1.0,If I'm Honest,2016.0,post_ai
everybody,keith urban,19.0,0.158,0.523,188.236,0.08,0.399,333040.0,8.49e-06,0.0673,-8.027,0.0314,1.0,"Love, Pain & The Whole Crazy Thing",2007.0,pre_ai
everybody talks,neon trees,23.0,0.725,0.924,154.961,0.00301,0.471,177280.0,0.0,0.313,-3.906,0.0586,1.0,Picture Show (Deluxe Edition),2011.0,pre_ai
everyday america,sugarland,39.0,0.658,0.847,101.013,0.337,0.638,232133.0,4.06e-06,0.0725,-2.574,0.0465,1.0,Enjoy The Ride,2006.0,pre_ai
everything has changed,taylor swift,57.0,0.451,0.47,79.539,0.372,0.471,243933.0,1.83e-06,0.333,-6.626,0.0297,1.0,Red (Deluxe Edition),2012.0,pre_ai
everything i shouldn't be thinking about,thompson square,46.0,0.895,0.947,115.983,0.0433,0.68,178467.0,1.18e-05,0.204,-3.703,0.0338,1.0,Just Feels Good,2013.0,pre_ai
everything to me,monica,45.0,0.485,0.529,80.794,0.479,0.308,196960.0,0.0,0.441,-5.319,0.0874,0.0,Still Standing,2010.0,pre_ai
everytime,britney spears,63.0,0.114,0.284,109.599,0.966,0.398,230307.0,8.57e-05,0.116,-12.852,0.0337,1.0,In The Zone,2004.0,pre_ai
everywhere,michelle branch,32.0,0.476,0.828,96.952,0.0136,0.523,214827.0,0.000255,0.165,-4.696,0.0762,1.0,The Spirit Room [Deluxe Edition],2001.0,pre_ai
explosions,ellie goulding,1.0,0.166,0.525,95.192,0.704,0.295,243920.0,0.0,0.325,-6.562,0.0304,1.0,Halcyon (Deluxe Edition),2012.0,pre_ai
eyes wide open,gotye,15.0,0.611,0.869,138.892,0.206,0.595,191245.0,0.0201,0.138,-6.215,0.0391,1.0,Making Mirrors (Deluxe Version),2010.0,pre_ai
fabulous,jaheim,48.0,0.598,0.464,75.982,0.548,0.657,227067.0,0.0,0.161,-7.573,0.0614,0.0,Still Ghetto,2002.0,pre_ai
face down,the red jumpsuit apparatus,75.0,0.465,0.932,92.956,0.000665,0.545,192000.0,0.0,0.127,-2.189,0.0399,0.0,Don't You Fake It,2006.0,pre_ai
fade,staind,43.0,0.255,0.846,116.469,0.00209,0.471,242600.0,0.0369,0.126,-3.632,0.0416,1.0,Break the Cycle,2001.0,pre_ai
failure,breaking benjamin,63.0,0.383,0.89,155.008,2.99e-05,0.462,214853.0,0.00909,0.0685,-4.853,0.0382,1.0,Dark Before Dawn,2015.0,post_ai
faint,linkin park,70.0,0.594,0.978,135.095,0.111,0.554,162600.0,0.0,0.0731,-3.554,0.131,1.0,Meteora,2003.0,pre_ai
fairly local,twenty one pilots,70.0,0.479,0.723,114.985,0.0396,0.715,207160.0,8.57e-05,0.084,-5.993,0.0569,0.0,Blurryface,2015.0,post_ai
faithful,drake,45.0,0.162,0.447,99.995,0.101,0.538,290133.0,1.68e-05,0.323,-10.546,0.153,1.0,Views,2016.0,post_ai
fake it,seether,75.0,0.586,0.949,131.985,0.00131,0.615,193893.0,3.04e-06,0.0585,-3.52,0.0549,1.0,Finding Beauty In Negative Spaces (Bonus Track Version),2007.0,pre_ai
fake love,drake,76.0,0.605,0.488,133.987,0.108,0.927,210937.0,0.0,0.196,-9.433,0.42,0.0,More Life,2016.0,post_ai
faking it,calvin harris,65.0,0.668,0.589,120.034,0.319,0.776,240093.0,0.0,0.0715,-4.543,0.115,0.0,Funk Wav Bounces Vol.1,2017.0,post_ai
fall,clay walker,55.0,0.208,0.543,138.003,0.193,0.55,217080.0,0.0,0.0994,-6.986,0.0287,1.0,Fall,2007.0,pre_ai
fall,eminem,75.0,0.535,0.546,182.973,0.227,0.83,262494.0,0.0,0.112,-5.716,0.295,1.0,Kamikaze,2018.0,post_ai
fall down,will.i.am,51.0,0.338,0.621,127.042,0.00994,0.619,307493.0,0.00332,0.121,-5.465,0.0357,0.0,#willpower (Deluxe),2013.0,pre_ai
fall for you,secondhand serenade,18.0,0.421,0.469,169.241,0.198,0.404,183773.0,0.0,0.0989,-6.903,0.0342,1.0,A Twist In My Story (Deluxe),2008.0,pre_ai
fall for your type,jamie foxx,5.0,0.193,0.393,136.866,0.394,0.593,269533.0,3.24e-06,0.11,-11.736,0.0827,1.0,Best Night Of My Life,2010.0,pre_ai
fallen,mya,12.0,0.387,0.609,94.452,0.11,0.665,214599.0,1.28e-05,0.555,-8.188,0.0468,1.0,Moodring,2003.0,pre_ai
fallen,sarah mclachlan,5.0,0.371,0.0811,74.35,0.934,0.457,212800.0,4.46e-06,0.0809,-16.94,0.0335,1.0,Itunes Original- Sarah McLachlan,2003.0,pre_ai
fallin' for you,colbie caillat,60.0,0.593,0.834,117.043,0.156,0.644,215547.0,0.0,0.112,-6.473,0.0275,1.0,Breakthrough (Deluxe Edition),2009.0,pre_ai
falls on me,fuel,0.0,0.181,0.804,164.185,8.08e-05,0.317,254027.0,0.109,0.0995,-6.504,0.0379,0.0,Natural Selection,2003.0,pre_ai
family affair,mary j. blige,25.0,0.964,0.557,92.903,0.148,0.921,265867.0,2.08e-05,0.0823,-3.92,0.0457,0.0,No More Drama,2001.0,pre_ai
family portrait,p!nk,57.0,0.733,0.686,91.816,0.0274,0.762,296960.0,3.62e-06,0.572,-5.26,0.049,0.0,M!ssundaztood (Deluxe Version),2002.0,pre_ai
famous last words,my chemical romance,44.0,0.299,0.876,122.348,0.00047,0.469,300400.0,9.82e-06,0.164,-3.785,0.0959,0.0,May Death Never Stop You,2007.0,pre_ai
fancy,drake,60.0,0.262,0.894,87.59,0.328,0.652,319387.0,0.0,0.354,-5.701,0.398,0.0,Thank Me Later,2010.0,pre_ai
far away,marsha ambrosius,8.0,0.348,0.666,142.125,0.252,0.407,436880.0,0.0,0.13,-6.527,0.264,1.0,Late Nights & Early Mornings,2010.0,pre_ai
far away,nickelback,51.0,0.318,0.757,132.922,0.00106,0.505,238160.0,0.0,0.103,-5.254,0.0288,1.0,All The Right Reasons,2006.0,pre_ai
farmer's daughter,rodney atkins,67.0,0.786,0.791,133.977,0.224,0.612,207040.0,0.0,0.112,-3.519,0.0291,1.0,It's America,2010.0,pre_ai
fast,luke bryan,61.0,0.599,0.898,145.953,0.225,0.548,206213.0,0.0,0.1,-2.561,0.0459,0.0,Kill The Lights (Deluxe),2016.0,post_ai
fast cars and freedom,rascal flatts,26.0,0.601,0.832,117.965,0.0146,0.618,262200.0,2.58e-05,0.111,-4.828,0.0301,0.0,Feels Like Today,2005.0,pre_ai
fastest girl in town,miranda lambert,53.0,0.563,0.911,145.057,0.0205,0.541,197600.0,0.00155,0.275,-3.6,0.0631,0.0,Four The Record,2012.0,pre_ai
fat lip,sum 41,48.0,0.643,0.919,98.057,0.000457,0.567,178280.0,0.0,0.0679,-5.424,0.0653,1.0,All Killer No Filler,2001.0,pre_ai
favorite girl,justin bieber,57.0,0.643,0.694,176.047,0.0535,0.582,256800.0,0.0,0.12,-4.396,0.055,1.0,My World,2009.0,pre_ai
fear.,kendrick lamar,66.0,0.434,0.479,150.414,0.604,0.588,460573.0,7.2e-06,0.527,-7.039,0.281,1.0,DAMN.,2017.0,post_ai
fearless,taylor swift,18.0,0.433,0.705,100.019,0.037,0.598,242827.0,0.0,0.304,-4.394,0.0275,1.0,Fearless,2008.0,pre_ai
feds watching,2 chainz,40.0,0.754,0.877,140.039,0.0466,0.786,247013.0,0.0,0.31,-6.539,0.104,1.0,B.O.A.T.S. II #METIME (Deluxe),2013.0,pre_ai
feedback,janet,12.0,0.466,0.649,115.005,0.000255,0.849,218213.0,0.0,0.0623,-6.826,0.0501,1.0,Discipline,2007.0,pre_ai
feel again,onerepublic,21.0,0.363,0.822,140.007,0.0201,0.471,185080.0,0.0,0.105,-8.017,0.0538,0.0,Native (Deluxe),2012.0,pre_ai
feel it still,portugal. the man,81.0,0.754,0.795,79.028,0.0417,0.801,163253.0,0.000113,0.0717,-5.115,0.0504,0.0,Woodstock,2017.0,post_ai
feel no ways,drake,50.0,0.233,0.67,193.8,0.0331,0.584,240653.0,7.18e-06,0.109,-7.077,0.164,1.0,Views,2016.0,post_ai
feel that fire,dierks bentley,32.0,0.669,0.833,179.846,0.371,0.412,201507.0,1.28e-05,0.208,-3.865,0.0352,1.0,Feel That Fire,2009.0,pre_ai
feel this moment,pitbull,0.0,0.531,0.758,135.958,0.0338,0.668,229507.0,0.0,0.204,-3.589,0.158,1.0,Global Warming (Deluxe Version),2013.0,pre_ai
feel.,kendrick lamar,66.0,0.553,0.798,109.968,0.137,0.746,214827.0,0.0,0.139,-8.382,0.349,1.0,DAMN.,2017.0,post_ai
feelin' on yo booty,r. kelly,44.0,0.83,0.258,61.028,0.259,0.737,245867.0,2.71e-06,0.101,-7.784,0.0528,1.0,TP-2.com,2001.0,pre_ai
feelin' way too damn good,nickelback,32.0,0.388,0.809,156.082,0.000536,0.506,256507.0,0.000429,0.145,-5.603,0.0417,1.0,The Long Road,2004.0,pre_ai
feeling myself,nicki minaj,53.0,0.438,0.701,138.923,0.44,0.618,237840.0,0.00761,0.417,-5.664,0.218,1.0,The Pinkprint (Deluxe Edition),2015.0,post_ai
feels,calvin harris,76.0,0.872,0.745,101.018,0.0642,0.893,223413.0,0.0,0.0943,-3.105,0.0571,0.0,Funk Wav Bounces Vol.1,2017.0,post_ai
feels like tonight,daughtry,38.0,0.351,0.9,130.996,0.000817,0.482,238330.0,0.0,0.124,-3.154,0.0459,1.0,Daughtry (Deluxe Edition),2006.0,pre_ai
felt good on my lips,tim mcgraw,37.0,0.519,0.869,136.001,0.024,0.56,277400.0,2.94e-06,0.136,-3.804,0.0387,1.0,Emotional Traffic,2010.0,pre_ai
female,keith urban,63.0,0.321,0.477,85.019,0.186,0.567,195317.0,4.86e-05,0.111,-8.781,0.0331,0.0,Graffiti U,2017.0,post_ai
fever,the black keys,63.0,0.743,0.674,127.541,0.00378,0.609,246307.0,0.000302,0.129,-6.506,0.0355,0.0,Turn Blue,2014.0,pre_ai
fidelity,regina spektor,63.0,0.682,0.518,93.023,0.52,0.923,226680.0,0.000142,0.104,-6.008,0.0492,1.0,Begin To Hope,2006.0,pre_ai
fifteen,taylor swift,16.0,0.209,0.636,95.431,0.0602,0.56,294880.0,0.0,0.148,-4.453,0.0262,1.0,Fearless,2008.0,pre_ai
fight for you,jason derulo,57.0,0.523,0.84,177.942,0.0139,0.416,242173.0,0.0,0.113,-4.298,0.0787,1.0,Future History (Deluxe Edition),2011.0,pre_ai
fight night,migos,71.0,0.895,0.706,89.968,0.182,0.874,216248.0,0.0,0.334,-5.132,0.207,1.0,No Label II,2014.0,pre_ai
fight song,rachel platten,80.0,0.33,0.714,175.924,0.0549,0.564,204013.0,0.0,0.155,-4.987,0.129,1.0,Wildfire,2015.0,post_ai
fighter,christina aguilera,49.0,0.452,0.895,188.858,0.245,0.432,249013.0,0.000393,0.476,-2.117,0.192,0.0,Keeps Gettin' Better: A Decade of Hits,2003.0,pre_ai
figured you out,nickelback,41.0,0.737,0.872,93.913,3.72e-05,0.561,228627.0,0.0121,0.309,-5.562,0.0501,0.0,The Long Road,2003.0,pre_ai
fill me in,craig david,58.0,0.828,0.748,132.486,0.373,0.683,257200.0,0.00881,0.06,-6.981,0.0366,1.0,Born to Do It,2000.0,pre_ai
filthy,justin timberlake,62.0,0.645,0.579,97.002,0.0354,0.745,293947.0,0.0118,0.246,-5.771,0.138,1.0,Man of the Woods,2018.0,post_ai
final fantasy,drake,65.0,0.104,0.448,144.204,0.422,0.5,219960.0,8.03e-06,0.115,-10.977,0.442,1.0,Scorpion,2018.0,post_ai
finally found you,enrique iglesias,9.0,0.608,0.876,127.963,0.01,0.619,221387.0,0.0,0.326,-4.875,0.0983,1.0,S** AND LOVE (Deluxe),2012.0,pre_ai
find a way,dwele,46.0,0.437,0.657,97.993,0.0577,0.712,249573.0,0.0,0.234,-5.888,0.149,0.0,Subject,2003.0,pre_ai
find your love,drake,62.0,0.822,0.598,96.081,0.0246,0.623,208947.0,0.0,0.0324,-5.914,0.167,0.0,Thank Me Later,2010.0,pre_ai
finding my way back,jaheim,3.0,0.179,0.564,135.858,0.125,0.629,227413.0,0.0,0.174,-6.556,0.0416,1.0,Another Round,2010.0,pre_ai
fine again,seether,13.0,0.359,0.854,175.563,0.000444,0.427,245594.0,0.0104,0.21,-2.949,0.0297,0.0,Seether: 2002 - 2013 (Deluxe Version),2000.0,pre_ai
fine by me,andy grammer,0.0,0.852,0.801,89.99,0.00959,0.579,174973.0,0.0,0.0579,-4.325,0.032,1.0,Andy Grammer,2011.0,pre_ai
finesse,drake,69.0,0.298,0.32,94.99,0.133,0.807,182080.0,0.000328,0.101,-8.152,0.0582,0.0,Scorpion,2018.0,post_ai
fire & desire,drake,53.0,0.251,0.255,80.001,0.0797,0.711,238120.0,0.0,0.0869,-14.394,0.0851,0.0,Views,2016.0,post_ai
firecracker,josh turner,48.0,0.749,0.976,174.719,0.0869,0.455,208800.0,0.000348,0.097,-5.303,0.108,0.0,Everything Is Fine,2007.0,pre_ai
fireflies,owl city,44.0,0.461,0.661,180.118,0.0274,0.513,228347.0,0.0,0.118,-6.8,0.0439,1.0,Ocean Eyes (Deluxe Version),2009.0,pre_ai
firework,katy perry,74.0,0.649,0.826,124.072,0.139,0.638,227880.0,0.0,0.0803,-4.968,0.0479,1.0,Katy Perry - Teenage Dream: The Complete Confection,2010.0,pre_ai
fireworks,drake,52.0,0.527,0.759,92.067,0.48,0.649,313280.0,0.0,0.151,-6.483,0.342,1.0,Thank Me Later,2010.0,pre_ai
first dance,justin bieber,49.0,0.287,0.527,68.501,0.0168,0.646,222333.0,0.0,0.204,-7.356,0.0478,1.0,My World,2009.0,pre_ai
first kiss,kid rock,54.0,0.659,0.889,131.96,0.00388,0.615,280347.0,0.0,0.0947,-2.539,0.0371,1.0,First Kiss,2015.0,post_ai
first love,jennifer lopez,50.0,0.455,0.708,100.025,0.00961,0.621,215787.0,0.00294,0.311,-5.084,0.0444,1.0,A.K.A. (Deluxe),2014.0,pre_ai
first time,lifehouse,30.0,0.506,0.953,130.683,2.51e-05,0.442,203640.0,0.0,0.199,-2.214,0.0535,1.0,Who We Are,2007.0,pre_ai
fistful of tears,maxwell,47.0,0.701,0.62,123.032,0.176,0.744,219267.0,0.0,0.101,-6.995,0.0558,1.0,BLACKsummers'night (2009),2010.0,pre_ai
five more minutes,scotty mccreery,68.0,0.278,0.632,156.034,0.257,0.496,241147.0,1.07e-06,0.109,-4.933,0.0282,1.0,Seasons Change,2017.0,post_ai
fix a heart,demi lovato,25.0,0.448,0.494,83.619,0.589,0.371,193040.0,0.0,0.0872,-7.832,0.0751,1.0,Unbroken (Deluxe Edition),2011.0,pre_ai
flap your wings,nelly,29.0,0.89,0.819,105.625,0.0225,0.898,243438.0,2.84e-06,0.078,-3.984,0.0647,0.0,Sweat,2004.0,pre_ai
flathead,the fratellis,34.0,0.265,0.96,105.122,0.0109,0.591,197640.0,0.0,0.297,-3.898,0.173,1.0,Costello Music,2007.0,pre_ai
flavor of the weak,american hi,23.0,0.504,0.952,151.288,0.000628,0.388,188867.0,1.95e-05,0.33,-3.018,0.0598,1.0,American Hi-Fi,2001.0,pre_ai
flipside,freeway,49.0,0.67,0.966,86.487,0.106,0.524,236707.0,0.0,0.19,-2.75,0.456,0.0,Philadelphia Freeway,2003.0,pre_ai
float on,modest mouse,72.0,0.553,0.888,100.975,0.013,0.649,208467.0,2.23e-06,0.0888,-4.807,0.0293,1.0,Good News For People Who Love Bad News,2003.0,pre_ai
fly,nicki minaj,45.0,0.168,0.853,119.89,0.0139,0.666,212920.0,0.000195,0.107,-4.836,0.0391,1.0,Pink Friday (Deluxe Edition),2011.0,pre_ai
fly like me,chingy,33.0,0.735,0.8,116.294,0.0249,0.7,225840.0,0.0,0.234,-5.863,0.265,0.0,Hate It Or Love It,2007.0,pre_ai
fly on the wall,miley cyrus,22.0,0.675,0.961,143.985,0.169,0.559,151800.0,0.0,0.117,-4.16,0.0546,0.0,Breakout,2008.0,pre_ai
fly with me,jonas brothers,61.0,0.536,0.914,150.151,0.00566,0.463,234147.0,0.0,0.123,-3.461,0.0651,1.0,"Lines, Vines and Trying Times",2009.0,pre_ai
foldin clothes,j. cole,61.0,0.6,0.496,162.039,0.218,0.713,316920.0,0.000237,0.0761,-10.045,0.311,0.0,4 Your Eyez Only,2016.0,post_ai
follow me,uncle kracker,73.0,0.916,0.585,105.014,0.439,0.817,218440.0,0.0,0.147,-4.688,0.0301,1.0,Double Wide,2001.0,pre_ai
foolish,ashanti,4.0,0.742,0.69,90.178,0.377,0.642,228333.0,0.0,0.128,-6.058,0.0664,1.0,Ashanti,2002.0,pre_ai
for the first time,darius rucker,66.0,0.666,0.804,142.016,0.00738,0.547,197053.0,0.0,0.0308,-5.268,0.0361,1.0,When Was The Last Time,2017.0,post_ai
for the first time,the script,66.0,0.358,0.629,173.794,0.0328,0.396,252853.0,0.0,0.183,-4.78,0.0287,1.0,Science & Faith,2010.0,pre_ai
for whom the bell tolls,j. cole,61.0,0.169,0.407,111.65,0.471,0.652,127880.0,0.0,0.294,-11.028,0.0354,0.0,4 Your Eyez Only,2016.0,post_ai
for you,keith urban,32.0,0.33,0.732,84.905,0.00927,0.434,289533.0,7.05e-05,0.0595,-7.759,0.0459,0.0,The Story So Far,2012.0,pre_ai
for you,staind,49.0,0.3,0.958,163.089,0.0603,0.318,206200.0,4.68e-06,0.0981,-2.683,0.442,1.0,Break the Cycle,2001.0,pre_ai
"for you, and your denial",yellowcard,43.0,0.477,0.986,175.098,0.000303,0.389,213893.0,0.000112,0.18,-3.53,0.0906,1.0,"When You're Through Thinking, Say Yes",2011.0,pre_ai
for your entertainment,adam lambert,19.0,0.629,0.87,130.009,0.0463,0.657,215160.0,0.0,0.0823,-3.876,0.104,1.0,For Your Entertainment (Deluxe Version),2009.0,pre_ai
foreign,trey songz,26.0,0.651,0.643,123.92,0.0254,0.749,249000.0,0.0,0.101,-7.424,0.114,0.0,Trigga (Deluxe),2014.0,pre_ai
forever,papa roach,36.0,0.361,0.558,107.96,0.0161,0.578,246333.0,0.0,0.125,-5.979,0.0278,0.0,The Paramour Sessions,2006.0,pre_ai
forever,rascal flatts,1.0,0.203,0.698,179.979,0.141,0.333,256853.0,0.0,0.113,-6.986,0.039,1.0,Unstoppable,2016.0,post_ai
formation,beyonce,77.0,0.818,0.621,121.966,0.00532,0.896,206080.0,0.0,0.196,-6.857,0.237,0.0,Lemonade,2016.0,post_ai
forthenight,musiq,38.0,0.785,0.678,101.051,0.256,0.697,229467.0,0.0,0.191,-7.133,0.234,0.0,Soulstar,2003.0,pre_ai
freakin' it,will smith,40.0,0.927,0.833,112.001,0.198,0.873,239293.0,0.0,0.237,-5.511,0.189,1.0,Willennium,2000.0,pre_ai
freaks,french montana,22.0,0.771,0.895,96.576,0.0499,0.771,181920.0,0.0,0.571,-4.805,0.253,1.0,Excuse My French (Deluxe),2013.0,pre_ai
free,mya,34.0,0.643,0.793,108.017,0.0139,0.79,318733.0,1.59e-05,0.0662,-6.122,0.0531,0.0,Fear Of Flying,2000.0,pre_ai
free,zac brown band,25.0,0.282,0.412,75.752,0.24,0.453,228653.0,0.00021,0.101,-7.539,0.0276,1.0,You Get What You Give (Deluxe),2008.0,pre_ai
free smoke,drake,66.0,0.208,0.492,141.953,0.0621,0.617,218674.0,0.0,0.484,-7.588,0.448,0.0,More Life,2017.0,post_ai
free yourself,fantasia,54.0,0.611,0.449,108.802,0.681,0.717,257427.0,0.0,0.0902,-9.688,0.0596,0.0,Free Yourself,2005.0,pre_ai
fresh eyes,andy grammer,71.0,0.872,0.56,122.054,0.548,0.828,198001.0,3.66e-05,0.15,-6.685,0.0327,1.0,The Good Parts,2016.0,post_ai
frick park market,mac miller,20.0,0.237,0.808,156.221,0.0271,0.592,197542.0,0.0,0.155,-5.64,0.0441,1.0,Blue Slide Park (Edited Version),2011.0,pre_ai
from a table away,sunny sweeney,44.0,0.557,0.805,110.027,0.0393,0.547,215333.0,1.75e-05,0.332,-4.34,0.0293,1.0,Concrete,2010.0,pre_ai
from tha chuuuch to da palace,snoop dogg,32.0,0.648,0.679,96.957,0.28,0.799,280560.0,0.0,0.201,-6.13,0.246,1.0,Paid Tha Cost To Be Da Bo$$,2002.0,pre_ai
from time,drake,65.0,0.388,0.509,91.632,0.633,0.564,322160.0,0.0,0.127,-9.727,0.475,0.0,Nothing Was The Same (Deluxe),2013.0,pre_ai
from where you are,lifehouse,10.0,0.336,0.418,87.841,0.139,0.442,181280.0,4.1e-06,0.112,-10.808,0.0262,0.0,Smoke & Mirrors (Deluxe Edition),2007.0,pre_ai
from yesterday,thirty seconds to mars,57.0,0.131,0.876,135.055,0.00578,0.467,247373.0,0.00592,0.035,-4.841,0.0693,1.0,A Beautiful Lie,2005.0,pre_ai
full moon,brandy,57.0,0.629,0.656,105.994,0.358,0.692,248933.0,0.0029,0.0929,-4.81,0.151,0.0,Full Moon,2002.0,pre_ai
funhouse,p!nk,38.0,0.805,0.863,103.98,0.00522,0.788,204627.0,3.44e-06,0.0371,-3.022,0.0352,0.0,Funhouse (Deluxe Version),2008.0,pre_ai
funny the way it is,dave matthews band,35.0,0.747,0.943,103.013,0.157,0.587,266627.0,0.0,0.248,-3.277,0.0346,1.0,Big Whiskey and the GrooGrux King (Deluxe Edition),2009.0,pre_ai
furthest thing,drake,56.0,0.249,0.772,137.083,0.148,0.549,267373.0,0.0,0.0574,-5.292,0.148,0.0,Nothing Was The Same (Deluxe),2013.0,pre_ai
g.u.y.,lady gaga,29.0,0.572,0.919,110.008,0.0141,0.616,232667.0,0.0,0.117,-3.468,0.0401,0.0,ARTPOP,2014.0,pre_ai
galway girl,ed sheeran,81.0,0.781,0.876,99.943,0.0735,0.624,170827.0,0.0,0.327,-3.374,0.1,1.0,÷ (Deluxe),2017.0,post_ai
game's pain,the game,5.0,0.377,0.77,97.049,0.0857,0.778,261773.0,0.0,0.0514,-4.653,0.305,0.0,LAX,2008.0,pre_ai
games,luke bryan,56.0,0.882,0.886,157.907,0.179,0.516,176293.0,0.0,0.135,-3.368,0.104,0.0,Spring Break...Checkin' Out,2015.0,post_ai
gang gang,migos,63.0,0.515,0.601,180.046,0.272,0.635,181319.0,0.0,0.112,-9.837,0.144,1.0,Culture II,2018.0,post_ai
gangsta girl,big tymers,25.0,0.902,0.627,152.03,0.481,0.846,258947.0,0.0,0.0825,-8.779,0.167,1.0,Big Money Heavyweight,2003.0,pre_ai
