Track,Artist,Year,Duration,Danceability,Energy,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Muwop (feat. Gucci Mane),Latto,2020,200135,0.79,0.61,-6.958,0,0.102,0.0613,0.0,0.243,0.62,145.88,45
PUSSY,Latto,2023,141176,0.587,0.848,-4.385,0,0.346,0.0364,0.0,0.246,0.673,169.65,35
Sex Lies (feat. Lil Baby),Latto,2022,161538,0.481,0.728,-6.147,1,0.143,0.279,0.0,0.139,0.703,79.829,39
There She Go,Latto,2023,161800,0.774,0.603,-4.424,1,0.11,0.000204,8.68e-05,0.184,0.254,155.048,54
Wheelie (feat. 21 Savage),Latto,2021,170270,0.911,0.667,-6.606,1,0.277,0.0313,0.0,0.0854,0.78,147.976,47
3 Headed Goat (feat. Lil Baby & Polo G),Lil Durk,2020,169531,0.846,0.48,-8.618,0,0.359,0.269,0.0,0.0989,0.419,143.029,69
Backdoor,Lil Durk,2020,200000,0.713,0.551,-7.593,0,0.29,0.107,3.66e-06,0.294,0.237,82.637,48
Bora Bora,Lil Durk,2022,162205,0.678,0.623,-5.034,1,0.0828,0.16,0.0,0.151,0.103,160.021,54
India,Lil Durk,2019,264862,0.79,0.56,-7.039,1,0.341,0.0787,0.0,0.344,0.133,145.012,54
The Voice,Lil Durk,2021,179724,0.447,0.813,-2.126,0,0.254,0.0258,0.0,0.136,0.121,84.758,48
Viral Moment,Lil Durk,2020,192000,0.545,0.525,-8.147,1,0.367,0.0134,0.0,0.109,0.26,159.073,43
What Happened To Virgil (feat. Gunna),Lil Durk,2022,181393,0.795,0.526,-9.086,0,0.204,0.067,2e-06,0.134,0.194,140.037,63
Cuz I Love You,Lizzo,2019,179978,0.566,0.66,-4.039,1,0.0479,0.0156,0.0,0.234,0.52,162.159,53
Good as Hell,Lizzo,2016,159735,0.682,0.919,-3.18,0,0.0875,0.256,0.0,0.442,0.535,95.982,70
Juice,Lizzo,2019,194935,0.766,0.885,-3.001,1,0.102,0.00666,0.0,0.348,0.831,119.908,37
Rumors (feat. Cardi B),Lizzo,2021,172832,0.827,0.731,-5.524,0,0.088,0.13,0.0,0.418,0.607,118.992,60
Scuse Me,Lizzo,2019,204392,0.803,0.833,-4.5,0,0.0859,0.259,1.43e-06,0.152,0.784,129.993,40
Soulmate,Lizzo,2019,175234,0.693,0.849,-4.517,1,0.0892,0.00466,0.00127,0.503,0.767,99.021,49
Tempo (feat. Missy Elliott),Lizzo,2020,175342,0.833,0.722,-5.563,1,0.136,0.0573,1.14e-05,0.358,0.588,107.019,56
Truth Hurts,Lizzo,2017,173325,0.715,0.624,-3.046,0,0.114,0.11,0.0,0.123,0.412,158.087,71
Water Me,Lizzo,2019,185594,0.67,0.966,-1.994,0,0.177,0.0292,0.0,0.185,0.77,113.046,48
Beautiful Crazy,Luke Combs,2017,193200,0.551,0.402,-7.431,1,0.0262,0.676,0.0,0.0928,0.382,103.313,83
Beer Never Broke My Heart,Luke Combs,2019,186733,0.538,0.863,-4.483,1,0.0481,0.0139,0.0,0.0874,0.637,77.001,81
Better Together,Luke Combs,2020,219573,0.552,0.225,-11.501,1,0.0477,0.827,0.0,0.111,0.67,138.002,74
Cold As You,Luke Combs,2021,186106,0.598,0.846,-4.956,1,0.0355,0.0527,0.0,0.113,0.328,144.04,66
Forever After All,Luke Combs,2020,232533,0.487,0.65,-5.195,1,0.0253,0.191,0.0,0.0933,0.456,151.964,77
Hurricane,Luke Combs,2021,222533,0.464,0.813,-6.185,1,0.0416,0.0153,0.0,0.254,0.515,75.977,78
Lovin' On You,Luke Combs,2020,194866,0.572,0.949,-4.865,1,0.06,0.00165,0.000195,0.163,0.53,118.974,69
One Number Away,Luke Combs,2017,221800,0.544,0.781,-6.16,0,0.0311,0.00585,0.0,0.191,0.527,144.075,74
She Got the Best of Me,Luke Combs,2017,183160,0.533,0.907,-3.793,1,0.0406,0.0292,0.0,0.386,0.7,150.99,83
When It Rains It Pours,Luke Combs,2017,240760,0.551,0.801,-5.069,1,0.0303,0.013,6.03e-06,0.265,0.625,128.027,84
Am I Okay?,Megan Moroney,2023,235002,0.593,0.734,-5.416,1,0.0514,0.02,0.0,0.138,0.518,125.937,76
Hair Salon,Megan Moroney,2023,224581,0.493,0.581,-6.133,1,0.0327,0.302,0.0,0.169,0.317,138.075,59
I'm Not Pretty,Megan Moroney,2022,181066,0.573,0.795,-5.561,1,0.0558,0.129,1.78e-05,0.186,0.705,128.101,73
Indifferent,Megan Moroney,2023,176022,0.635,0.537,-6.296,1,0.0476,0.0467,0.0,0.0853,0.511,107.421,70
Tennessee Orange,Megan Moroney,2023,223119,0.38,0.488,-6.637,1,0.029,0.126,7.23e-06,0.115,0.268,156.031,66
Wonder,Megan Moroney,2023,222139,0.603,0.46,-8.178,0,0.0281,0.356,0.000528,0.119,0.556,81.04,63
Bang Dem Sticks,Meghan Trainor,2016,180973,0.886,0.734,-4.431,1,0.0752,0.0294,1.29e-05,0.304,0.25,109.981,41
Better When I'm Dancin',Meghan Trainor,2015,176266,0.756,0.789,-7.002,1,0.0324,0.53,0.000711,0.157,0.873,127.987,73
Dear Future Husband,Meghan Trainor,2015,184226,0.655,0.782,-4.789,1,0.185,0.375,0.0,0.317,0.832,79.427,77
Good To Be Alive,Meghan Trainor,2016,228360,0.605,0.684,-5.254,1,0.142,0.333,1.91e-05,0.0819,0.587,200.049,48
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,2015,225053,0.63,0.53,-7.259,1,0.0434,0.4,0.0,0.177,0.417,108.038,78
Me Too,Meghan Trainor,2016,181240,0.934,0.694,-5.849,0,0.101,0.0971,1.2e-06,0.477,0.833,123.831,71
NO,Meghan Trainor,2016,213506,0.557,0.803,-3.599,0,0.213,0.0124,1.61e-06,0.737,0.657,92.134,73
Watch Me Do,Meghan Trainor,2016,169773,0.849,0.686,-2.674,0,0.0506,0.00209,0.00566,0.0839,0.652,112.032,37
No Complaints (feat. Offset & Drake) (Bonus),Metro Boomin,2018,265480,0.913,0.571,-8.82,1,0.166,0.0709,0.00237,0.0599,0.203,123.966,64
Overdue (with Travis Scott),Metro Boomin,2023,166093,0.634,0.401,-11.212,0,0.0446,0.731,0.000132,0.334,0.494,150.174,79
Space Cadet (feat. Gunna),Metro Boomin,2019,203266,0.901,0.464,-9.789,0,0.0645,0.368,1.82e-05,0.238,0.638,109.004,79
coffee,Miguel,2015,286573,0.556,0.618,-7.471,0,0.0463,0.00558,0.000351,0.153,0.121,80.985,64
Do You...,Miguel,2015,207920,0.593,0.589,-6.401,1,0.0366,0.462,3.88e-06,0.0937,0.306,148.055,47
Sky Walker (feat. Travis Scott),Miguel,2017,259333,0.674,0.506,-10.532,1,0.0434,0.173,0.0,0.0866,0.183,145.965,72
waves - Tame Impala Remix,Miguel,2015,253346,0.529,0.894,-3.599,1,0.0412,0.308,5.38e-06,0.254,0.543,108.024,65
Flowers,Miley Cyrus,2023,200600,0.706,0.691,-4.775,1,0.0633,0.0584,6.99e-05,0.0232,0.632,118.048,88
Malibu,Miley Cyrus,2017,231906,0.573,0.781,-6.406,1,0.0555,0.0767,2.64e-05,0.0813,0.343,139.934,73
Midnight Sky,Miley Cyrus,2020,223280,0.699,0.805,-5.535,0,0.0345,0.00161,0.00177,0.249,0.232,109.976,70
Prisoner (feat. Dua Lipa),Miley Cyrus,2020,169333,0.781,0.67,-3.912,0,0.0452,0.0103,0.0,0.0761,0.595,127.99,72
Slide Away,Miley Cyrus,2023,233654,0.534,0.538,-6.673,1,0.0327,0.173,2.82e-06,0.248,0.289,148.016,65
7 Summers,Morgan Wallen,2020,210506,0.466,0.786,-5.13,1,0.0328,0.417,6.1e-05,0.125,0.571,203.903,78
Chasin' You,Morgan Wallen,2018,205453,0.631,0.591,-5.806,1,0.0277,0.667,0.0,0.11,0.494,97.087,79
Cover Me Up,Morgan Wallen,2020,293706,0.549,0.44,-8.192,1,0.0264,0.232,7.37e-06,0.107,0.214,128.01,73
More Than My Hometown,Morgan Wallen,2020,216573,0.62,0.869,-5.479,1,0.0462,0.615,0.0,0.131,0.597,126.019,79
Sand In My Boots,Morgan Wallen,2021,202133,0.403,0.537,-6.628,1,0.031,0.59,0.0,0.112,0.414,69.877,76
Somebody’s Problem,Morgan Wallen,2021,161773,0.657,0.54,-7.675,1,0.0287,0.662,0.0,0.123,0.625,136.97,60
The Way I Talk,Morgan Wallen,2018,208280,0.605,0.88,-3.388,1,0.0322,0.0462,0.0,0.0915,0.761,137.986,72
Up Down (feat. Florida Georgia Line),Morgan Wallen,2017,197253,0.59,0.882,-3.041,1,0.0349,0.0803,0.0,0.146,0.792,129.929,72
Wasted On You,Morgan Wallen,2021,178520,0.505,0.657,-5.24,0,0.0318,0.373,0.00107,0.126,0.252,196.0,82
Whiskey Glasses,Morgan Wallen,2018,234346,0.616,0.68,-4.581,1,0.0288,0.361,1.18e-06,0.116,0.687,149.951,80
Amor Tumbado,Natanael Cano,2020,221553,0.576,0.715,-5.755,0,0.0354,0.335,2.85e-06,0.0772,0.497,199.942,77
Giza,Natanael Cano,2021,177580,0.698,0.891,-5.003,0,0.0341,0.0942,0.0,0.133,0.696,124.054,83
Madonna,Natanael Cano,2021,187087,0.732,0.873,-5.965,1,0.0321,0.0449,0.000803,0.347,0.662,128.029,86
Soy El Diablo - Remix,Natanael Cano,2020,193621,0.681,0.686,-6.398,0,0.0462,0.588,0.0,0.114,0.961,109.191,62
Bulletproof (feat. Avril Lavigne),Nate Smith,2023,183919,0.506,0.757,-4.802,1,0.037,0.0798,0.0,0.0885,0.489,79.984,63
Whiskey On You,Nate Smith,2022,183786,0.473,0.751,-5.196,1,0.0318,9.91e-05,0.0181,0.118,0.569,110.025,74
World on Fire,Nate Smith,2023,189986,0.461,0.887,-4.871,0,0.0429,0.000219,0.0,0.104,0.411,95.964,76
Attention,NewJeans,2022,180066,0.811,0.648,-3.684,0,0.0368,0.236,0.0,0.0761,0.695,104.988,76
Cookie,NewJeans,2022,235562,0.847,0.638,-3.764,1,0.0575,0.0596,0.0,0.0894,0.661,156.935,72
Cool With You,NewJeans,2023,147880,0.752,0.65,-6.683,0,0.12,0.653,0.00136,0.105,0.532,134.993,74
Ditto,NewJeans,2022,185506,0.814,0.641,-5.957,0,0.111,0.027,0.0,0.0993,0.183,133.854,78
Get Up,NewJeans,2023,36226,0.525,0.526,-7.03,1,0.0534,0.634,0.127,0.103,0.562,85.274,71
Hurt,NewJeans,2023,177946,0.599,0.446,-6.511,0,0.0833,0.731,0.0,0.105,0.567,179.877,73
Hype Boy,NewJeans,2022,179026,0.593,0.935,-3.43,0,0.225,0.268,0.0,0.286,0.783,99.976,79
OMG,NewJeans,2023,212253,0.804,0.771,-4.067,0,0.0433,0.357,3.07e-06,0.108,0.739,126.956,79
Super Shy,NewJeans,2023,154666,0.776,0.817,-6.018,0,0.0748,0.18,3.44e-05,0.146,0.515,149.921,81
Supernatural,NewJeans,2023,191000,0.699,0.708,-4.182,0,0.0496,0.185,8.43e-06,0.0921,0.863,108.887,83
Chun-Li,Nicki Minaj,2018,191600,0.686,0.73,-5.077,0,0.374,0.278,4.76e-05,0.106,0.474,128.943,66
Pills N Potions,Nicki Minaj,2015,268000,0.391,0.604,-8.104,1,0.212,0.00812,4.91e-06,0.0443,0.168,169.391,55
Truffle Butter,Nicki Minaj,2015,220466,0.89,0.667,-6.862,1,0.0521,0.0572,3.03e-05,0.108,0.522,105.103,62
AIN'T GONNA ANSWER,NLE Choppa,2023,187453,0.879,0.875,-1.868,0,0.18,0.0808,0.0,0.327,0.763,95.021,58
Camelot,NLE Choppa,2020,148759,0.787,0.713,-5.252,1,0.401,0.0849,0.0,0.717,0.761,175.046,71
Catalina,NLE Choppa,2022,180000,0.828,0.837,-3.963,0,0.0559,0.0295,0.002,0.147,0.821,116.955,61
Final Warning,NLE Choppa,2021,156894,0.847,0.912,-3.129,1,0.257,0.0781,0.0,0.142,0.88,81.486,62
PISTOL PACCIN,NLE Choppa,2023,149449,0.831,0.793,-4.127,1,0.369,0.0195,0.0,0.259,0.833,144.967,75
Shotta Flow (feat. Blueface) - Remix,NLE Choppa,2019,176631,0.893,0.514,-4.776,1,0.424,0.0245,0.0,0.142,0.555,120.077,72
Shotta Flow 6,NLE Choppa,2022,192147,0.859,0.596,-7.021,1,0.329,0.0194,0.0,0.0489,0.479,140.064,57
All My Love,Noah Kahan,2023,251510,0.666,0.665,-7.181,1,0.0534,0.309,0.0,0.0961,0.474,116.002,80
Call Your Mom,Noah Kahan,2023,278670,0.485,0.215,-12.124,1,0.0348,0.703,3.55e-06,0.115,0.159,172.122,74
Dial Drunk (with Post Malone),Noah Kahan,2023,213817,0.669,0.606,-7.193,1,0.0292,0.124,0.0,0.112,0.69,112.108,83
Forever,Noah Kahan,2023,268353,0.394,0.256,-10.944,1,0.036,0.765,0.0,0.116,0.215,94.367,77
Homesick,Noah Kahan,2023,194416,0.505,0.624,-6.526,1,0.0373,0.0253,1.06e-05,0.314,0.413,170.076,73
New Perspective,Noah Kahan,2023,256871,0.693,0.524,-9.696,1,0.0407,0.267,1.83e-06,0.0839,0.453,156.529,72
Northern Attitude,Noah Kahan,2023,267256,0.523,0.626,-8.214,1,0.047,0.119,3.29e-05,0.107,0.323,121.291,58
Stick Season,Noah Kahan,2022,182346,0.664,0.5,-6.935,1,0.0651,0.799,0.0,0.0966,0.801,117.896,90
You’re Gonna Go Far,Noah Kahan,2023,286369,0.586,0.358,-9.761,1,0.0308,0.556,0.0,0.11,0.365,169.925,81
Break Up with Him,Old Dominion,2015,207733,0.617,0.632,-5.381,1,0.0371,0.0675,0.0,0.108,0.564,151.988,61
Hotel Key,Old Dominion,2018,166573,0.758,0.867,-5.087,1,0.0475,0.152,0.0,0.308,0.964,102.018,68
Make It Sweet,Old Dominion,2019,187000,0.424,0.837,-4.453,1,0.0472,0.0373,0.0,0.0665,0.554,180.175,59
No Such Thing as a Broken Heart,Old Dominion,2017,176893,0.651,0.782,-4.295,1,0.0718,0.295,0.0,0.107,0.945,171.987,60
One Man Band,Old Dominion,2019,186240,0.706,0.358,-8.331,1,0.0347,0.677,0.0,0.107,0.478,75.991,80
Smooth Sailing,Old Dominion,2022,215080,0.334,0.738,-5.28,1,0.0437,0.0058,0.0,0.115,0.49,143.985,36
Song for Another Time,Old Dominion,2016,191826,0.498,0.804,-3.995,1,0.0332,0.125,0.0,0.167,0.697,166.054,60
Written in the Sand,Old Dominion,2017,184080,0.725,0.438,-9.602,1,0.0575,0.593,0.0,0.0842,0.76,83.984,63
Aint Gotta Dollar,Oliver Anthony Music,2023,124608,0.703,0.0859,-15.608,1,0.0364,0.825,2.91e-06,0.0754,0.343,110.028,62
I Want to go Home,Oliver Anthony Music,2023,170971,0.692,0.0436,-13.093,1,0.0717,0.943,0.0,0.114,0.197,104.891,60
Long Gone,Oliver Anthony Music,2023,142186,0.748,0.176,-11.1,1,0.0514,0.799,0.0,0.201,0.426,95.397,46
Rich Men North of Richmond,Oliver Anthony Music,2023,187244,0.678,0.264,-12.384,1,0.0622,0.753,0.0,0.302,0.528,121.722,76
"1 step forward, 3 steps back",Olivia Rodrigo,2021,163586,0.473,0.203,-12.627,1,0.102,0.941,0.0,0.126,0.419,168.884,77
brutal,Olivia Rodrigo,2021,143746,0.672,0.526,-6.446,1,0.0599,0.0311,1.37e-06,0.28,0.28,123.999,77
deja vu,Olivia Rodrigo,2021,215506,0.442,0.612,-7.222,1,0.112,0.584,5.7e-06,0.37,0.178,180.917,84
drivers license,Olivia Rodrigo,2021,242013,0.561,0.431,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,143.875,83
enough for you,Olivia Rodrigo,2021,202826,0.638,0.259,-10.706,1,0.0898,0.753,0.0,0.219,0.269,88.485,75
favorite crime,Olivia Rodrigo,2021,152666,0.369,0.272,-10.497,1,0.0364,0.866,0.0,0.147,0.218,172.929,83
good 4 u,Olivia Rodrigo,2021,178146,0.563,0.664,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,83
happier,Olivia Rodrigo,2021,175933,0.395,0.443,-9.72,1,0.133,0.765,9.67e-06,0.0839,0.338,168.924,82
"jealousy, jealousy",Olivia Rodrigo,2021,173160,0.695,0.575,-6.334,0,0.116,0.198,0.0,0.0614,0.699,163.929,82
traitor,Olivia Rodrigo,2021,229226,0.38,0.339,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607,84
Burn It Down,Parker McCollum,2022,233869,0.461,0.718,-5.627,1,0.0666,0.139,1.66e-05,0.0968,0.334,162.187,67
Handle On You,Parker McCollum,2023,219967,0.591,0.928,-3.925,1,0.0316,0.00441,0.0,0.291,0.619,105.025,67
Hell of a Year,Parker McCollum,2022,232653,0.655,0.482,-8.453,0,0.0305,0.411,1.46e-06,0.114,0.191,98.013,68
I Ain't Going Nowhere,Parker McCollum,2023,204489,0.562,0.691,-4.702,1,0.0328,0.00265,1.91e-06,0.105,0.483,128.059,40
Like A Cowboy,Parker McCollum,2022,226437,0.483,0.443,-6.791,1,0.034,0.611,2.46e-06,0.0981,0.215,125.017,56
Love You Like That,Parker McCollum,2022,205173,0.534,0.774,-6.058,1,0.0284,0.0135,2.78e-06,0.103,0.435,149.961,41
