Track,Artist,Year,Duration,Danceability,Energy,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Poker Face,Lady Gaga,2008,237200,0.851,0.806,-4.618,1,0.0787,0.119,1.72e-06,0.121,0.774,119.001,77
Touch My Body,Mariah Carey,2008,204733,0.714,0.665,-7.736,0,0.0509,0.0996,0.0,0.226,0.842,78.515,71
We Belong Together,Mariah Carey,2005,201400,0.833,0.467,-7.89,1,0.0619,0.0339,0.0,0.09,0.767,139.971,70
All About That Bass,Meghan Trainor,2014,187920,0.807,0.887,-3.726,1,0.0503,0.0573,2.87e-06,0.124,0.961,134.052,73
Lips Are Movin,Meghan Trainor,2014,182666,0.775,0.825,-5.402,1,0.0464,0.0506,1.03e-06,0.111,0.95,139.091,69
Adorn,Miguel,2012,193146,0.625,0.576,-5.693,0,0.175,0.0543,4.07e-05,0.187,0.235,179.063,67
All I Want Is You (feat. J. Cole),Miguel,2010,295920,0.776,0.603,-5.696,1,0.0343,0.0728,6.25e-05,0.111,0.921,96.888,71
How Many Drinks?,Miguel,2012,272986,0.379,0.608,-7.011,0,0.134,0.00311,0.000614,0.248,0.241,81.822,62
Sure Thing,Miguel,2011,195373,0.684,0.607,-8.127,0,0.1,0.0267,0.000307,0.191,0.498,81.001,87
Adore You,Miley Cyrus,2013,278746,0.583,0.655,-5.407,1,0.0315,0.111,3.57e-06,0.113,0.201,119.759,68
Party In The U.S.A.,Miley Cyrus,2009,202066,0.652,0.698,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,78
The Climb,Miley Cyrus,2009,236066,0.327,0.588,-6.611,1,0.0336,0.0834,0.0,0.104,0.329,161.074,64
We Can't Stop,Miley Cyrus,2013,231240,0.613,0.622,-5.794,0,0.0334,0.00882,0.0,0.37,0.484,80.003,76
Wrecking Ball,Miley Cyrus,2013,221360,0.53,0.422,-6.262,1,0.0342,0.407,0.0,0.107,0.349,119.964,78
Anaconda,Nicki Minaj,2014,260239,0.964,0.605,-6.223,1,0.179,0.0668,7.78e-06,0.214,0.646,129.996,60
Beez In The Trap,Nicki Minaj,2012,268480,0.813,0.782,-6.005,1,0.218,0.0227,0.00165,0.0956,0.681,150.003,52
Fly,Nicki Minaj,2010,212920,0.665,0.848,-4.926,1,0.0386,0.0148,0.000118,0.1,0.196,119.897,60
Moment 4 Life,Nicki Minaj,2011,279306,0.475,0.882,-3.883,1,0.351,0.406,0.0,0.241,0.369,98.001,69
Starships,Nicki Minaj,2012,210626,0.747,0.716,-2.457,0,0.0751,0.135,0.0,0.251,0.751,125.006,74
Super Bass,Nicki Minaj,2011,200013,0.723,0.86,-4.357,1,0.203,0.271,4.56e-06,0.598,0.667,126.979,79
Snapback,Old Dominion,2014,206506,0.687,0.793,-3.577,1,0.0333,0.302,3.46e-06,0.1,0.673,100.993,63
Diamonds,Rihanna,2012,225146,0.562,0.709,-4.92,0,0.0424,0.00124,0.0,0.109,0.401,91.958,71
Don't Stop The Music,Rihanna,2007,267080,0.834,0.669,-5.582,0,0.0637,0.0341,7.18e-05,0.0535,0.547,122.669,71
Only Girl (In The World),Rihanna,2010,235493,0.789,0.706,-4.233,0,0.0429,0.112,1.71e-05,0.0586,0.638,125.918,84
Rude Boy,Rihanna,2009,222920,0.563,0.75,-4.496,1,0.127,0.113,0.0,0.0788,0.812,173.909,77
Stay,Rihanna,2013,240706,0.621,0.31,-10.164,0,0.0283,0.945,6.12e-05,0.117,0.125,111.881,65
Take A Bow,Rihanna,2008,229413,0.518,0.467,-7.536,1,0.162,0.248,0.0,0.0941,0.559,79.965,74
Umbrella,Rihanna,2007,275986,0.585,0.828,-4.603,1,0.124,0.00906,0.0,0.0426,0.584,174.034,82
