ranking,song,band_singer,titletext,year,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
44,I Need You,LeAnn Rimes,I Need You,2000,0.478,0.736,-7.124,1.0,0.0367,0.02,9.58e-05,0.118,0.5640000000000001,144.705,229827.0
45,Thank God I Found You,Mariah Carey,Thank God I Found You,2000,0.348,0.532,-5.882,1.0,0.0331,0.592,0.0,0.106,0.148,129.297,257360.0
46,Let's Get Married,Jagged Edge,Let's Get Married,2000,0.707,0.492,-11.754,1.0,0.0418,0.211,0.0,0.143,0.643,96.807,340000.0
47,My Love Is Your Love,Whitney Houston,My Love Is Your Love,2000,0.77,0.475,-9.512,1.0,0.159,0.0561,4.72e-06,0.0607,0.473,82.511,261573.0
48,Then the Morning Comes,Smash Mouth,Then the Morning Comes,2000,0.729,0.881,-5.024,0.0,0.0283,0.0231,0.0,0.0872,0.963,118.58,182267.0
49,Blue (Da Ba Dee),Eiffel 65,Blue (Da Ba Dee),2000,0.8220000000000001,0.969,-11.471,0.0,0.0582,0.259,0.000153,0.39,0.765,128.007,283748.0
50,Desert Rose,Sting,Desert Rose,2000,0.577,0.654,-7.9,0.0,0.0321,0.0143,0.0,0.114,0.13,111.993,285893.0
50,Desert Rose,Cheb Mami,Desert Rose,2000,0.5760000000000001,0.738,-9.15,0.0,0.0343,0.224,1.77e-05,0.954,0.398,114.995,377640.0
51,The Real Slim Shady,Eminem,The Real Slim Shady,2000,0.949,0.661,-4.244,0.0,0.0572,0.0302,0.0,0.0454,0.76,104.504,284200.0
53,Wifey,Next,Wifey,2000,0.8310000000000001,0.713,-6.967,0.0,0.104,0.0678,0.0,0.0659,0.683,99.584,243467.0
54,Wonderful,Everclear,Wonderful,2000,0.514,0.8170000000000001,-6.489,1.0,0.05,0.0118,8.25e-06,0.346,0.734,186.765,280813.0
55,Oops!... I Did It Again,Britney Spears,Oops!... I Did It Again,2000,0.751,0.834,-5.444,0.0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,211160.0
56,I Wanna Love You Forever,Jessica Simpson,I Wanna Love You Forever,2000,0.59,0.666,-4.047,0.0,0.0244,0.156,0.0,0.136,0.0743,104.042,263800.0
57,Give Me Just One Night (Una Noche),98 Degrees,Give Me Just One Night (Una Noche),2000,0.543,0.79,-6.145,1.0,0.0491,0.0513,3.55e-06,0.0981,0.655,123.631,205160.0
58,Take a Picture,Filter,Take a Picture,2000,0.541,0.776,-8.042,1.0,0.0298,0.00147,0.0002209999999999,0.178,0.282,98.986,363800.0
59,Otherside,Red Hot Chili Peppers,Otherside,2000,0.458,0.795,-3.265,1.0,0.0574,0.00316,0.000202,0.0756,0.513,123.229,255373.0
60,Big Pimpin',Jay-Z,Big Pimpin',2000,0.88,0.8140000000000001,-6.307,0.0,0.14,0.168,0.00672,0.0584,0.942,138.083,283067.0
61,Purest of Pain (A Puro Dolor),Son by Four,Purest of Pain (A Puro Dolor),2000,0.593,0.939,-3.431,1.0,0.0616,0.45,1.33e-05,0.109,0.743,134.108,247480.0
62,He Can't Love U,Jagged Edge,He Can't Love U,2000,0.721,0.836,-3.972,0.0,0.206,0.112,0.0,0.235,0.508,126.279,244053.0
63,Separated,Avant,Separated,2000,0.798,0.48,-5.564,1.0,0.0276,0.247,0.0,0.237,0.643,108.241,255600.0
64,I Wish,Carl Thomas,I Wish,2000,0.736,0.666,-4.929,1.0,0.0337,0.0593,3.82e-05,0.107,0.224,89.824,226760.0
65,U Know What's Up,Donell Jones,U Know What's Up,2000,0.854,0.543,-6.166,0.0,0.0844,0.0402,5.73e-05,0.0419,0.868,103.032,243733.0
66,Faded,soulDecision,Faded,2000,0.6930000000000001,0.722,-6.3870000000000005,0.0,0.0421,0.244,0.0,0.0425,0.96,107.975,208667.0
67,Only God Knows Why,Kid Rock,Only God Knows Why,2000,0.628,0.749,-5.18,1.0,0.03,0.0569,0.00204,0.134,0.31,129.2,327667.0
68,Shake Ya Ass,Mystikal,Shake Ya Ass,2000,0.914,0.607,-5.658,1.0,0.32,0.0626,0.0,0.0515,0.666,98.054,256973.0
69,Bag Lady,Erykah Badu,Bag Lady,2000,0.724,0.416,-8.964,0.0,0.0841,0.365,0.0,0.0969,0.578,151.181,348893.0
70,Meet Virginia,Train,Meet Virginia,2000,0.675,0.553,-7.775,1.0,0.0486,0.0863,7.58e-06,0.118,0.594,90.02,239933.0
