Name,Artist,Popularity,Valence,Energy,Tempo,year,RiaaStatus,Label,period
drops of jupiter,train,79.0,0.499,0.64,79.297,2001.0,Gold,Columbia,pre_ai
drugs or jesus,tim mcgraw,30.0,0.278,0.673,146.943,2004.0,,,pre_ai
drummer boy,justin bieber,13.0,0.479,0.848,122.99,2011.0,,,pre_ai
drunk last night,eli young band,57.0,0.572,0.856,87.019,2013.0,1x Platinum,Republic Nashville,pre_ai
drunk on a plane,dierks bentley,70.0,0.668,0.754,205.958,2014.0,3x Multi-Platinum,Capitol Records Nashville,pre_ai
dust,eli young band,49.0,0.495,0.925,130.958,2014.0,Gold,Republic Nashville,pre_ai
dynamite,taio cruz,11.5,0.802,0.82,119.974,2010.0,8x Multi-Platinum,Mercury,pre_ai
e.i.,nelly,39.0,0.406,0.481,89.849,2000.0,,,pre_ai
e.t.,katy perry,56.2,0.691,0.872,150.104,2011.0,8x Multi-Platinum,Capitol Records,pre_ai
earth intruders,bjork,21.0,0.18,0.948,108.981,2007.0,,,pre_ai
easy,rascal flatts,29.0,0.531,0.576,118.885,2011.0,1x Platinum,"Big Machine Records, Inc.",pre_ai
easy,sheryl crow,23.0,0.608,0.571,169.994,2013.0,,,pre_ai
echo,gorilla zoe,18.0,0.562,0.737,108.029,2009.0,,,pre_ai
ego,beyonce,28.0,0.5,0.391,89.598,2009.0,Gold,Music World / Columbia,pre_ai
eight second ride,jake owen,48.5,0.534,0.843,92.357,2006.0,Gold,Rca Nashville,pre_ai
el cerrito place,kenny chesney,47.0,0.262,0.503,134.032,2012.0,,,pre_ai
el perdedor,enrique iglesias,27.0,0.297,0.47,137.794,2013.0,,,pre_ai
elevator,eminem,52.0,0.559,0.795,90.488,2009.0,,,pre_ai
emotional,carl thomas,49.0,0.389,0.542,83.106,2000.0,,,pre_ai
emperor's new clothes,panic! at the disco,73.0,0.651,0.904,94.481,2015.0,1x Platinum,Fueled by Ramen,pre_ai
empty walls,serj tankian,63.0,0.528,0.963,160.071,2007.0,,,pre_ai
enchanted,taylor swift,47.5,0.208,0.623,163.893,2010.0,Gold,"Big Machine Records, Inc.",pre_ai
energy,drake,71.0,0.571,0.571,172.056,2015.0,3x Multi-Platinum,Young Money / Cash Money / Republic Records,pre_ai
enough of no love,keyshia cole,20.0,0.467,0.622,86.954,2012.0,,,pre_ai
entourage,omarion,25.0,0.928,0.799,106.498,2006.0,,,pre_ai
escape,enrique iglesias,48.0,0.876,0.832,125.992,2002.0,,,pre_ai
ever the same,rob thomas,16.0,0.524,0.729,188.017,2005.0,Gold,Atlantic,pre_ai
every day,rascal flatts,34.5,0.239,0.726,169.367,2008.0,,,pre_ai
every day is exactly the same,nine inch nails,34.5,0.414,0.941,144.04,2005.0,,,pre_ai
every mile a memory,dierks bentley,21.75,0.392,0.703,177.915,2006.0,,,pre_ai
everybody,keith urban,19.0,0.158,0.523,188.236,2007.0,,,pre_ai
everybody talks,neon trees,23.0,0.725,0.924,154.961,2011.0,4x Multi-Platinum,Island Records,pre_ai
everyday america,sugarland,39.0,0.658,0.847,101.013,2006.0,,,pre_ai
everything has changed,taylor swift,57.0,0.451,0.47,79.539,2012.0,2x Multi-Platinum,Big Machine Records,pre_ai
everything i shouldn't be thinking about,thompson square,46.0,0.895,0.947,115.983,2013.0,,,pre_ai
everything to me,monica,45.0,0.485,0.529,80.794,2010.0,,,pre_ai
everytime,britney spears,63.0,0.114,0.284,109.599,2004.0,Gold,Jive,pre_ai
everywhere,michelle branch,49.5,0.476,0.828,96.952,2001.0,,,pre_ai
explosions,ellie goulding,13.0,0.166,0.525,95.192,2012.0,,,pre_ai
eyes wide open,gotye,20.5,0.611,0.869,138.892,2010.0,,,pre_ai
fabulous,jaheim,48.0,0.598,0.464,75.982,2002.0,,,pre_ai
face down,the red jumpsuit apparatus,75.0,0.465,0.932,92.956,2006.0,,,pre_ai
fade,staind,43.0,0.255,0.846,116.469,2001.0,,,pre_ai
failure,breaking benjamin,63.0,0.383,0.89,155.008,2015.0,Gold,Hollywood Records,pre_ai
faint,linkin park,70.0,0.594,0.978,135.095,2003.0,1x Platinum,Warner Bros. Records,pre_ai
fairly local,twenty one pilots,70.0,0.479,0.723,114.985,2015.0,1x Platinum,Fueled by Ramen,pre_ai
fake it,seether,29.0,0.586,0.949,131.985,2007.0,1x Platinum,Wind-Up Records,pre_ai
fall,clay walker,55.0,0.208,0.543,138.003,2007.0,,,pre_ai
fall down,will.i.am,51.0,0.338,0.621,127.042,2013.0,,,pre_ai
fall for you,secondhand serenade,18.0,0.421,0.469,169.241,2008.0,2x Multi-Platinum,Glassnote Records,pre_ai
fall for your type,jamie foxx,5.0,0.193,0.393,136.866,2010.0,,,pre_ai
fallen,mya,12.0,0.387,0.609,94.452,2003.0,,,pre_ai
fallen,sarah mclachlan,5.0,0.371,0.0811,74.35,2003.0,,,pre_ai
fallin' for you,colbie caillat,34.6,0.593,0.834,117.043,2009.0,1x Platinum,Universal Records,pre_ai
falls on me,fuel,0.0,0.181,0.804,164.185,2003.0,,,pre_ai
family affair,mary j. blige,25.0,0.964,0.557,92.903,2001.0,,,pre_ai
family portrait,p!nk,57.0,0.733,0.686,91.816,2002.0,,,pre_ai
famous last words,my chemical romance,57.5,0.299,0.876,122.348,2007.0,,,pre_ai
fancy,drake,60.0,0.262,0.894,87.59,2010.0,1x Platinum,Cash Money / Young Money / Republic Records,pre_ai
far away,marsha ambrosius,8.0,0.348,0.666,142.125,2010.0,,,pre_ai
far away,nickelback,51.0,0.318,0.757,132.922,2006.0,,,pre_ai
farmer's daughter,rodney atkins,60.5,0.786,0.791,133.977,2010.0,1x Platinum,Curb Records,pre_ai
fast cars and freedom,rascal flatts,26.0,0.601,0.832,117.965,2005.0,Gold,Lyric Street,pre_ai
fastest girl in town,miranda lambert,53.0,0.563,0.911,145.057,2012.0,Gold,Rca Records Label Nashville,pre_ai
fat lip,sum 41,47.75,0.643,0.919,98.057,2001.0,,,pre_ai
favorite girl,justin bieber,32.333333333333336,0.643,0.694,176.047,2009.0,Gold,Island/Def Jam,pre_ai
fearless,taylor swift,29.0,0.433,0.705,100.019,2008.0,1x Platinum,"Big Machine Records, Inc.",pre_ai
feds watching,2 chainz,40.0,0.754,0.877,140.039,2013.0,Gold,Def Jam,pre_ai
feedback,janet,12.0,0.466,0.649,115.005,2007.0,,,pre_ai
feel again,onerepublic,21.0,0.363,0.822,140.007,2012.0,Gold,Interscope / Geffen / A&m,pre_ai
feel that fire,dierks bentley,32.0,0.669,0.833,179.846,2009.0,Gold,Capitol Records Nashville,pre_ai
feel this moment,pitbull,8.0,0.531,0.758,135.958,2013.0,1x Platinum,Rca Records,pre_ai
feelin' on yo booty,r. kelly,44.0,0.83,0.258,61.028,2001.0,,,pre_ai
feelin' way too damn good,nickelback,32.0,0.388,0.809,156.082,2004.0,,,pre_ai
feeling myself,nicki minaj,59.5,0.438,0.701,138.923,2015.0,2x Multi-Platinum,Young Money / Cash Money / Republic Records,pre_ai
feels like tonight,daughtry,43.5,0.351,0.9,130.996,2006.0,,,pre_ai
felt good on my lips,tim mcgraw,37.0,0.519,0.869,136.001,2010.0,1x Platinum,Curb Records,pre_ai
fever,the black keys,63.0,0.743,0.674,127.541,2014.0,Gold,Warner Bros Records,pre_ai
fidelity,regina spektor,53.0,0.682,0.518,93.023,2006.0,Gold,Sire,pre_ai
fifteen,taylor swift,29.0,0.209,0.636,95.431,2008.0,2x Multi-Platinum,"Big Machine Records, Inc.",pre_ai
fight for you,jason derulo,57.0,0.523,0.84,177.942,2011.0,,,pre_ai
fight night,migos,71.0,0.895,0.706,89.968,2014.0,Gold,Quality Control Music / 300 Entertainment,pre_ai
fight song,rachel platten,80.0,0.33,0.714,175.924,2015.0,3x Multi-Platinum,Columbia,pre_ai
fighter,christina aguilera,59.0,0.452,0.895,188.858,2003.0,Gold,Rca,pre_ai
figured you out,nickelback,41.0,0.737,0.872,93.913,2003.0,Gold,Roadrunner,pre_ai
fill me in,craig david,31.5,0.828,0.748,132.486,2000.0,,,pre_ai
finally found you,enrique iglesias,28.5,0.608,0.876,127.963,2012.0,Gold,Republic Records,pre_ai
find a way,dwele,46.0,0.437,0.657,97.993,2003.0,,,pre_ai
find your love,drake,62.0,0.822,0.598,96.081,2010.0,3x Multi-Platinum,Cash Money / Young Money / Republic Records,pre_ai
finding my way back,jaheim,3.0,0.179,0.564,135.858,2010.0,,,pre_ai
fine again,seether,25.25,0.359,0.854,175.563,2000.0,,,pre_ai
fine by me,andy grammer,0.0,0.852,0.801,89.99,2011.0,1x Platinum,s-Curve Records,pre_ai
firecracker,josh turner,48.0,0.749,0.976,174.719,2007.0,Gold,Mca Nashville,pre_ai
fireflies,owl city,44.0,0.461,0.661,180.118,2009.0,7x Multi-Platinum,Republic Records,pre_ai
firework,katy perry,61.0,0.649,0.826,124.072,2010.0,11x Diamond,Capitol Records,pre_ai
fireworks,drake,52.0,0.527,0.759,92.067,2010.0,,,pre_ai
first dance,justin bieber,26.0,0.287,0.527,68.501,2009.0,,,pre_ai
first kiss,kid rock,54.0,0.659,0.889,131.96,2015.0,,,pre_ai
first love,jennifer lopez,50.0,0.455,0.708,100.025,2014.0,,,pre_ai
first time,lifehouse,30.0,0.506,0.953,130.683,2007.0,,,pre_ai
fistful of tears,maxwell,47.0,0.701,0.62,123.032,2010.0,,,pre_ai
fix a heart,demi lovato,25.0,0.448,0.494,83.619,2011.0,,,pre_ai
flap your wings,nelly,26.0,0.89,0.819,105.625,2004.0,Gold,Universal Records,pre_ai
flathead,the fratellis,34.0,0.265,0.96,105.122,2007.0,,,pre_ai
flavor of the weak,american hi,23.0,0.504,0.952,151.288,2001.0,,,pre_ai
flipside,freeway,49.0,0.67,0.966,86.487,2003.0,,,pre_ai
float on,modest mouse,72.0,0.553,0.888,100.975,2003.0,Gold,Epic,pre_ai
fly,nicki minaj,22.5,0.168,0.853,119.89,2011.0,1x Platinum,Motown,pre_ai
fly like me,chingy,33.0,0.735,0.8,116.294,2007.0,,,pre_ai
fly on the wall,miley cyrus,22.0,0.675,0.961,143.985,2008.0,,,pre_ai
fly with me,jonas brothers,61.0,0.536,0.914,150.151,2009.0,,,pre_ai
follow me,uncle kracker,39.333333333333336,0.916,0.585,105.014,2001.0,,,pre_ai
foolish,ashanti,4.0,0.742,0.69,90.178,2002.0,,,pre_ai
for the first time,the script,66.0,0.358,0.629,173.794,2010.0,1x Platinum,Epic,pre_ai
for you,keith urban,32.0,0.33,0.732,84.905,2012.0,Gold,Relativity,pre_ai
for you,staind,37.5,0.3,0.958,163.089,2001.0,,,pre_ai
"for you, and your denial",yellowcard,43.0,0.477,0.986,175.098,2011.0,,,pre_ai
for your entertainment,adam lambert,19.0,0.629,0.87,130.009,2009.0,,,pre_ai
foreign,trey songz,40.5,0.651,0.643,123.92,2014.0,,,pre_ai
forever,papa roach,36.0,0.361,0.558,107.96,2006.0,,,pre_ai
forthenight,musiq,38.0,0.785,0.678,101.051,2003.0,,,pre_ai
freakin' it,will smith,40.0,0.927,0.833,112.001,2000.0,,,pre_ai
freaks,french montana,22.0,0.771,0.895,96.576,2013.0,,,pre_ai
free,mya,34.0,0.643,0.793,108.017,2000.0,,,pre_ai
free,zac brown band,43.0,0.282,0.412,75.752,2008.0,1x Platinum,Atlantic Records,pre_ai
free yourself,fantasia,54.0,0.611,0.449,108.802,2005.0,,,pre_ai
frick park market,mac miller,20.0,0.237,0.808,156.221,2011.0,,,pre_ai
from a table away,sunny sweeney,44.0,0.557,0.805,110.027,2010.0,,,pre_ai
from tha chuuuch to da palace,snoop dogg,32.0,0.648,0.679,96.957,2002.0,,,pre_ai
from time,drake,65.0,0.388,0.509,91.632,2013.0,1x Platinum,Cash Money / Young Money / Republic Records,pre_ai
from where you are,lifehouse,20.0,0.336,0.418,87.841,2007.0,,,pre_ai
from yesterday,thirty seconds to mars,39.5,0.131,0.876,135.055,2005.0,,,pre_ai
full moon,brandy,58.5,0.629,0.656,105.994,2002.0,,,pre_ai
funhouse,p!nk,48.0,0.805,0.863,103.98,2008.0,,,pre_ai
funny the way it is,dave matthews band,35.0,0.747,0.943,103.013,2009.0,,,pre_ai
furthest thing,drake,56.0,0.249,0.772,137.083,2013.0,1x Platinum,Cash Money / Young Money / Republic Records,pre_ai
g.u.y.,lady gaga,29.0,0.572,0.919,110.008,2014.0,,,pre_ai
game's pain,the game,5.0,0.377,0.77,97.049,2008.0,,,pre_ai
games,luke bryan,56.0,0.882,0.886,157.907,2015.0,,,pre_ai
gangsta girl,big tymers,25.0,0.902,0.627,152.03,2003.0,,,pre_ai
gangsta lovin',eve,5.0,0.793,0.845,94.34,2002.0,,,pre_ai
gangsta luv,snoop dogg,0.0,0.398,0.735,102.076,2009.0,,,pre_ai
gangsta nation,westside connection,41.0,0.796,0.872,94.949,2003.0,,,pre_ai
gasolina,daddy yankee,78.0,0.753,0.801,96.009,2004.0,,,pre_ai
get back,demi lovato,50.0,0.74,0.849,75.973,2008.0,,,pre_ai
get back,ludacris,45.0,0.178,0.632,172.027,2004.0,Gold,Def Jam,pre_ai
get back up,t.i.,15.0,0.641,0.807,84.074,2010.0,,,pre_ai
get busy,sean paul,38.0,0.726,0.824,100.202,2002.0,1x Platinum,Atlantic Records,pre_ai
get by,talib kweli,58.0,0.77,0.925,90.19,2003.0,,,pre_ai
get her back,robin thicke,47.0,0.735,0.287,187.797,2014.0,,,pre_ai
get it started,pitbull,4.0,0.599,0.849,128.971,2012.0,,,pre_ai
get like me,david banner,58.0,0.736,0.747,117.613,2008.0,,,pre_ai
get lucky,daft punk,73.0,0.863,0.793,116.049,2013.0,4x Multi-Platinum,Columbia,pre_ai
get on your boots,u2,39.0,0.601,0.746,149.035,2009.0,,,pre_ai
get on your knees,nicki minaj,49.5,0.185,0.464,144.028,2014.0,,,pre_ai
get right,jennifer lopez,57.0,0.362,0.759,97.084,2005.0,Gold,Epic,pre_ai
get silly,v.i.c.,51.0,0.671,0.814,75.01,2008.0,,,pre_ai
get the party started,p!nk,68.0,0.961,0.904,128.931,2001.0,Gold,Laface,pre_ai
get ugly,jason derulo,25.0,0.549,0.695,111.084,2015.0,Gold,Warner Bros Records,pre_ai
get up,amel larrieux,43.0,0.542,0.494,88.559,2000.0,,,pre_ai
get used to it,justin bieber,58.0,0.463,0.689,110.065,2015.0,,,pre_ai
getting away with murder,papa roach,21.0,0.348,0.968,103.885,2004.0,,,pre_ai
ghetto,akon,53.0,0.679,0.636,187.333,2004.0,,,pre_ai
ghost town,adam lambert,66.0,0.274,0.736,119.955,2015.0,Gold,Warner Bros Records,pre_ai
gimme more,britney spears,70.0,0.382,0.844,113.324,2007.0,1x Platinum,Jive,pre_ai
gimme the light,sean paul,41.0,0.923,0.761,107.288,2002.0,,,pre_ai
gimmie that girl,joe nichols,0.0,0.675,0.9,162.249,2009.0,,,pre_ai
girl,beck,37.0,0.859,0.666,149.616,2005.0,,,pre_ai
girl all the bad guys want,bowling for soup,37.333333333333336,0.86,0.825,130.957,2002.0,,,pre_ai
girl crush,little big town,23.0,0.355,0.225,173.788,2014.0,3x Multi-Platinum,Capitol Records Nashville,pre_ai
girl next door,musiq soulchild,21.0,0.749,0.636,77.951,2000.0,,,pre_ai
girls chase boys,ingrid michaelson,32.0,0.678,0.82,84.893,2014.0,1x Platinum,Cabin 24 Records / Mom+pop Music,pre_ai
give a little bit,goo goo dolls,44.0,0.528,0.951,93.974,2006.0,Gold,Warner Bros.,pre_ai
give a little more,maroon 5,18.0,0.94,0.822,117.961,2010.0,,,pre_ai
give it 2 me,madonna,56.0,0.972,0.954,127.019,2008.0,,,pre_ai
give it all we got tonight,george strait,46.5,0.324,0.642,130.36,2012.0,1x Platinum,Mca,pre_ai
give it to me,timbaland,49.0,0.794,0.696,110.626,2007.0,,,pre_ai
give it up to me,sean paul,12.0,0.196,0.482,95.994,2006.0,,,pre_ai
give me a sign,breaking benjamin,44.5,0.435,0.851,156.727,2009.0,Gold,Hollywood Records,pre_ai
give me all your luvin',madonna,35.0,0.879,0.885,144.998,2012.0,Gold,Interscope / Geffen / A&m,pre_ai
give me everything,pitbull,39.0,0.524,0.933,129.02,2011.0,6x Multi-Platinum,Rca,pre_ai
give me that,webbie,40.0,0.536,0.781,78.009,2005.0,Gold,Atlantic,pre_ai
give your heart a break,demi lovato,31.0,0.524,0.712,123.064,2012.0,3x Multi-Platinum,Hollywood Records,pre_ai
given up,linkin park,52.0,0.938,0.885,100.088,2008.0,Gold,Warner Bros. Records,pre_ai
gives you hell,the all,46.5,0.59,0.725,99.988,2008.0,,,pre_ai
glad you came,the wanted,58.5,0.452,0.851,126.885,2011.0,3x Multi-Platinum,Island/Def Jam,pre_ai
glass,thompson square,45.0,0.263,0.524,75.963,2012.0,,,pre_ai
glitter in the air,p!nk,49.5,0.302,0.269,100.033,2009.0,,,pre_ai
go girl,pitbull,21.5,0.717,0.619,114.968,2007.0,,,pre_ai
go hard,dj khaled,0.0,0.368,0.874,130.023,2008.0,,,pre_ai
go on,george strait,20.0,0.453,0.568,104.535,2000.0,,,pre_ai
go on girl,ne,40.0,0.627,0.531,168.088,2007.0,,,pre_ai
go!,common,54.0,0.526,0.775,104.959,2005.0,,,pre_ai
god love her,toby keith,52.0,0.432,0.919,125.025,2008.0,Gold,Show Dog Nashville,pre_ai
god's will,martina mcbride,0.0,0.191,0.332,121.531,2003.0,,,pre_ai
gold,britt nicole,40.5,0.895,0.819,95.958,2012.0,Gold,Sparrow,pre_ai
gold lion,yeah yeah yeahs,54.0,0.257,0.855,158.743,2006.0,,,pre_ai
gold on the ceiling,the black keys,71.0,0.565,0.833,130.121,2012.0,1x Platinum,Nonesuch,pre_ai
gonna,blake shelton,55.0,0.948,0.886,146.076,2015.0,Gold,Warner Bros Records,pre_ai
gonna get this,hannah montana,0.0,0.731,0.789,100.044,2010.0,,,pre_ai
gonorrhea,lil wayne,10.0,0.687,0.745,148.042,2010.0,Gold,Motown,pre_ai
good directions,billy currington,68.0,0.497,0.731,122.522,2005.0,1x Platinum,Mercury Nashville,pre_ai
good feeling,flo rida,40.0,0.684,0.89,128.011,2011.0,5x Multi-Platinum,Atlantic,pre_ai
good girl,carrie underwood,12.0,0.744,0.84,128.926,2012.0,2x Multi-Platinum,19 Recordings Limited / Arista Nashville,pre_ai
good life,onerepublic,10.0,0.652,0.629,94.968,2009.0,3x Multi-Platinum,Interscope / Geffen / A&m,pre_ai
good lovin,ludacris,36.0,0.597,0.768,83.957,2014.0,,,pre_ai
good morning beautiful,steve holy,54.0,0.242,0.5,70.984,2001.0,Gold,Curb Records,pre_ai
good time,alan jackson,36.5,0.794,0.901,132.029,2008.0,Gold,Arista Nashville,pre_ai
goodbye,kristinia debarge,49.0,0.664,0.815,119.986,2009.0,1x Platinum,Def Jam,pre_ai
goodbye earl,dixie chicks,28.5,0.546,0.916,123.147,2000.0,Gold,Monument,pre_ai
goodbye for now,p.o.d.,31.0,0.442,0.885,95.05,2005.0,,,pre_ai
goodbye in her eyes,zac brown band,58.0,0.376,0.558,81.271,2012.0,1x Platinum,Atlantic Records,pre_ai
goodbye my lover,james blunt,41.0,0.273,0.261,89.567,2005.0,Gold,Atlantic,pre_ai
goodbye to you,michelle branch,34.333333333333336,0.276,0.556,81.008,2001.0,,,pre_ai
goodbye town,lady antebellum,32.0,0.522,0.716,95.022,2013.0,,,pre_ai
goodies,ciara,14.0,0.872,0.647,102.017,2004.0,,,pre_ai
goodnight kiss,randy houser,52.0,0.633,0.71,111.024,2013.0,Gold,Stoney Creek Records,pre_ai
gorilla,bruno mars,19.0,0.641,0.544,139.959,2013.0,1x Platinum,Atlantic Records,pre_ai
got 2 luv u,sean paul,31.0,0.565,0.906,87.965,2011.0,,,pre_ai
got it twisted,mobb deep,40.0,0.504,0.744,103.266,2004.0,,,pre_ai
got money,lil wayne,40.0,0.703,0.661,82.479,2008.0,2x Multi-Platinum,Universal Records,pre_ai
got some teeth,obie trice,23.0,0.789,0.859,106.548,2003.0,,,pre_ai
got your back,t.i.,48.0,0.652,0.472,146.841,2010.0,,,pre_ai
gots ta be,b2k,18.5,0.709,0.449,131.751,2002.0,,,pre_ai
gotta be somebody,nickelback,65.0,0.205,0.89,115.998,2008.0,,,pre_ai
gotta go,trey songz,45.0,0.562,0.635,82.21,2005.0,,,pre_ai
grace kelly,mika,45.5,0.696,0.824,122.221,2007.0,Gold,Universal Records,pre_ai
gravity,john mayer,76.0,0.237,0.326,123.98,2007.0,1x Platinum,Columbia,pre_ai
grenade,bruno mars,75.0,0.227,0.558,110.443,2010.0,8x Multi-Platinum,Elektra,pre_ai
grillz,nelly,57.0,0.84,0.504,82.996,2005.0,1x Platinum,Universal Records,pre_ai
grind with me,pretty ricky,48.0,0.189,0.538,136.518,2005.0,1x Platinum,Atlantic,pre_ai
grindin',clipse,57.0,0.361,0.77,191.692,2002.0,,,pre_ai
grown men don't cry,tim mcgraw,45.0,0.56,0.513,101.815,2001.0,,,pre_ai
guap,big sean,50.0,0.579,0.716,146.141,2012.0,1x Platinum,Def Jam,pre_ai
guess who's back,scarface,37.0,0.769,0.892,85.912,2002.0,,,pre_ai
gypsy,shakira,32.0,0.476,0.762,92.804,2010.0,,,pre_ai
hair,lady gaga,40.0,0.366,0.925,135.001,2011.0,,,pre_ai
half of my heart,john mayer,68.0,0.731,0.593,115.058,2010.0,1x Platinum,Columbia,pre_ai
halfway gone,lifehouse,32.0,0.469,0.916,125.038,2009.0,,,pre_ai
halfway there,big time rush,19.5,0.365,0.909,142.975,2010.0,,,pre_ai
hall of fame,the script,64.5,0.63,0.873,84.803,2012.0,2x Multi-Platinum,Epic,pre_ai
hallelujah,k.d. lang,47.5,0.0952,0.131,135.463,2004.0,,,pre_ai
hallelujah,panic! at the disco,67.0,0.615,0.886,80.008,2015.0,1x Platinum,Fueled by Ramen,pre_ai
halo,beyonce,43.0,0.472,0.72,79.983,2009.0,2x Multi-Platinum,Music World / Columbia,pre_ai
handlebars,flobots,7.0,0.546,0.569,141.92,2008.0,1x Platinum,Universal Records,pre_ai
hands clean,alanis morissette,28.5,0.42,0.88,97.945,2002.0,,,pre_ai
hands up,lloyd banks,24.0,0.611,0.876,95.0,2006.0,,,pre_ai
handsome and wealthy,migos,61.0,0.237,0.665,146.031,2014.0,Gold,Quality Control Music / 300 Entertainment,pre_ai
hanging by a moment,lifehouse,62.0,0.502,0.858,124.599,2000.0,,,pre_ai
hangover,taio cruz,52.0,0.555,0.869,128.066,2011.0,,,pre_ai
happy,ashanti,4.0,0.606,0.495,89.48,2002.0,,,pre_ai
happy,leona lewis,49.0,0.235,0.641,76.07,2009.0,,,pre_ai
happy people,r. kelly,41.0,0.791,0.638,96.995,2004.0,,,pre_ai
happy?,mudvayne,20.0,0.391,0.972,100.048,2005.0,,,pre_ai
hard,rihanna,57.0,0.163,0.746,182.032,2009.0,2x Multi-Platinum,Def Jam,pre_ai
hard to love,lee brice,71.0,0.469,0.722,103.017,2012.0,2x Multi-Platinum,Curb Records,pre_ai
harder to breathe,maroon 5,57.0,0.967,0.908,149.941,2002.0,1x Platinum,A&m/Octone,pre_ai
hate it or love it,the game,43.5,0.503,0.869,88.989,2005.0,Gold,Interscope,pre_ai
hate me,blue october,38.333333333333336,0.195,0.684,92.561,2006.0,1x Platinum,Universal Records,pre_ai
hate that i love you,rihanna,46.0,0.716,0.722,93.992,2007.0,2x Multi-Platinum,Def Jam,pre_ai
hate to say i told you so,the hives,43.5,0.419,0.931,135.826,2000.0,,,pre_ai
haunted,taylor swift,46.0,0.352,0.95,162.088,2010.0,Gold,Big Machine Records,pre_ai
have a nice day,bon jovi,29.0,0.567,0.886,130.103,2005.0,Gold,Island,pre_ai
haven't met you yet,michael buble,75.0,0.796,0.733,122.58,2009.0,1x Platinum,Reprise,pre_ai
he could be the one,hannah montana,19.5,0.609,0.891,125.96,2009.0,,,pre_ai
he gets that from me,reba mcentire,42.0,0.441,0.382,143.749,2004.0,,,pre_ai
he is,heather headley,16.0,0.631,0.772,75.048,2002.0,,,pre_ai
he wasn't man enough,toni braxton,49.0,0.763,0.947,88.009,2000.0,Gold,Laface,pre_ai
headfirst slide into cooperstown on a bad bet,fall out boy,37.5,0.584,0.748,120.069,2009.0,,,pre_ai
headlights,eminem,64.0,0.453,0.782,146.324,2013.0,1x Platinum,Shady / Aftermath / Interscope,pre_ai
headlines,drake,44.0,0.425,0.566,151.894,2011.0,4x Multi-Platinum,Cash Money / Republic Records,pre_ai
headsprung,ll cool j,33.5,0.35,0.687,100.887,2004.0,,,pre_ai
headstrong,trapt,74.0,0.534,0.896,184.981,2002.0,1x Platinum,Warner Bros.,pre_ai
heard it all before,sunshine anderson,55.0,0.676,0.925,96.953,2001.0,,,pre_ai
heart attack,demi lovato,20.5,0.501,0.785,173.992,2013.0,2x Multi-Platinum,Hollywood Records,pre_ai
heart attack,enrique iglesias,22.0,0.504,0.897,76.956,2013.0,,,pre_ai
heart attack,trey songz,56.0,0.476,0.863,150.029,2012.0,1x Platinum,Atlantic Records,pre_ai
heart like mine,miranda lambert,53.0,0.493,0.844,155.066,2009.0,Gold,Columbia Nashville,pre_ai
heartbeat,carrie underwood,21.0,0.447,0.767,139.982,2015.0,Gold,19 Recordings Limited / Arista Nashville,pre_ai
heartbeat,the fray,1.0,0.3,0.825,144.394,2011.0,Gold,Epic,pre_ai
heartbeat song,kelly clarkson,56.0,0.486,0.799,149.095,2015.0,1x Platinum,Rca Records,pre_ai
heartbreak warfare,john mayer,68.0,0.311,0.554,97.031,2009.0,1x Platinum,Columbia,pre_ai
heartbreaker,justin bieber,60.0,0.577,0.518,104.6,2013.0,,,pre_ai
heartless,kris allen,38.0,0.502,0.747,94.954,2009.0,,,pre_ai
heaven,los lonely boys,13.0,0.813,0.818,91.966,2004.0,Gold,Epic,pre_ai
heaven sent,keyshia cole,15.0,0.385,0.739,79.2,2007.0,,,pre_ai
hell breaks loose,eminem,50.0,0.902,0.884,79.903,2009.0,,,pre_ai
hell on heels,pistol annies,59.0,0.383,0.547,132.226,2011.0,1x Platinum,Rca Records Label Nashville,pre_ai
hell yeah,ginuwine,33.0,0.653,0.714,87.98,2003.0,,,pre_ai
hella good,no doubt,51.0,0.838,0.665,115.138,2001.0,,,pre_ai
hello,adele,73.0,0.289,0.451,157.966,2015.0,7x Multi-Platinum,Columbia / Xl Recordings,pre_ai
hello world,lady antebellum,27.0,0.145,0.531,111.079,2010.0,,,pre_ai
help is on the way,rise against,60.0,0.596,0.951,108.043,2011.0,,,pre_ai
help me understand,trace adkins,28.0,0.291,0.435,129.933,2001.0,,,pre_ai
her diamonds,rob thomas,3.0,0.866,0.916,175.191,2009.0,1x Platinum,Atlantic,pre_ai
here,rascal flatts,33.5,0.299,0.805,163.919,2009.0,,,pre_ai
here for the party,gretchen wilson,11.0,0.809,0.717,123.988,2004.0,Gold,Epic Nashville,pre_ai
here i am,rick ross,61.0,0.475,0.735,109.851,2008.0,Gold,Def Jam,pre_ai
here is gone,goo goo dolls,52.0,0.221,0.685,102.192,2002.0,,,pre_ai
here it goes again,ok go,21.333333333333332,0.842,0.882,145.708,2006.0,,,pre_ai
here to stay,korn,60.0,0.351,0.947,100.002,2002.0,,,pre_ai
here we go again,demi lovato,50.5,0.667,0.922,142.038,2009.0,1x Platinum,Hollywood Records,pre_ai
here without you,3 doors down,51.0,0.193,0.545,143.988,2002.0,,,pre_ai
here's to the night,eve 6,0.0,0.352,0.652,97.469,2001.0,,,pre_ai
hero,enrique iglesias,48.0,0.168,0.64,151.968,2001.0,,,pre_ai
hey,lil jon,40.0,0.512,0.76,132.024,2010.0,,,pre_ai
hey baby,no doubt,54.0,0.75,0.872,93.628,2001.0,,,pre_ai
