Unnamed: 0,Acousticness,Album,Artist,Danceability,Duration,Energy,Instrumentalness,Liveness,Loudness,Mode,Name,Popularity,Speechiness,Tempo,Valence,year,period
24,0.00434,Anthology,alien ant farm,0.647,209267,0.964,0.0036,0.15,-4.225,0,smooth criminal,74,0.06,126.942,0.875,2001.0,pre_ai
1,0.287,"Dark Days, Bright Nights",bubba sparxxx,0.506,265267,0.83,7.19e-05,0.148,-5.861,0,ugly,34,0.218,90.825,0.691,2001.0,pre_ai
21,0.086,Aaron Tippin 25,aaron tippin,0.511,241712,0.829,8.27e-05,0.0866,-3.532,1,where the stars and stripes and the eagle fly,29,0.0284,100.026,0.5,2001.0,pre_ai
3,0.405,Amigo,david ball,0.648,275053,0.527,0.0,0.0978,-8.862,1,riding with private malone,56,0.0515,93.93,0.515,2001.0,pre_ai
20,0.0974,Spin,darren hayes,0.67,310227,0.847,0.0,0.0842,-5.449,0,insatiable,49,0.0545,143.872,0.852,2002.0,pre_ai
41,0.0106,White Lilies Island,natalie imbruglia,0.477,255480,0.75,0.0,0.158,-5.641,1,wrong impression,20,0.0268,100.176,0.292,2002.0,pre_ai
22,0.00206,All Hits At the House of Blues,raphael saadiq,0.523,457853,0.799,0.00679,0.944,-6.273,1,be here,3,0.153,88.239,0.487,2002.0,pre_ai
12,0.128,John P. Kelly,mr. cheeks,0.801,261027,0.931,0.0,0.145,-6.602,1,"lights, camera, action!",46,0.0727,105.526,0.808,2001.0,pre_ai
203,0.00528,Living Proof,cher,0.548,202600,0.915,0.0,0.186,-7.01,1,song for the lonely,40,0.0556,129.972,0.38,2002.0,pre_ai
32,0.203,Soul Sista,keke wyatt,0.702,251067,0.64,0.0,0.0326,-3.24,1,nothing in this world,53,0.0479,132.002,0.4,2001.0,pre_ai
302,0.0156,The Fix,scarface,0.755,255573,0.892,0.00327,0.146,-4.252,1,guess who's back,37,0.283,85.912,0.769,2002.0,pre_ai
83,0.538,Mahogany Soul,angie stone,0.801,268133,0.434,0.0,0.0729,-9.174,0,brotha,47,0.376,132.254,0.661,2001.0,pre_ai
87,0.355,Mahogany Soul,angie stone,0.856,270893,0.755,0.000621,0.145,-5.691,1,wish i didn't miss you,64,0.0331,123.883,0.842,2002.0,pre_ai
53,0.000273,The Amalgamut,filter,0.501,334933,0.785,0.0128,0.36,-6.205,1,where do we go from here,32,0.0329,94.109,0.21,2002.0,pre_ai
45,0.00152,The Fallout,default,0.442,269307,0.785,0.0,0.0694,-5.566,1,wasting my time,27,0.0319,147.988,0.216,2001.0,pre_ai
0,0.0324,Love Crimes,ruff endz,0.839,242560,0.641,4.56e-06,0.0602,-5.669,0,no more,51,0.0858,97.004,0.927,2000.0,pre_ai
14,0.0543,Someone To Love You,ruff endz,0.637,297360,0.678,0.0,0.0961,-2.21,1,someone to love you,0,0.0345,77.928,0.426,2002.0,pre_ai
48,0.0499,Dirty Vegas,dirty vegas,0.786,432147,0.853,0.0872,0.35,-8.274,0,days go by,2,0.0688,126.99,0.309,2002.0,pre_ai
30,0.0702,Life Goes On,donell jones,0.792,260267,0.648,0.00531,0.0693,-6.827,0,put me down,39,0.0469,101.406,0.76,2002.0,pre_ai
31,0.136,Life Goes On,donell jones,0.767,260067,0.494,0.000277,0.0603,-5.349,1,you know that i love you,42,0.0421,96.003,0.801,2002.0,pre_ai
74,0.00126,Veni Vidi Vicious,the hives,0.459,200693,0.931,0.00881,0.412,-5.024,1,hate to say i told you so,68,0.0612,135.826,0.419,2000.0,pre_ai
20,0.0796,Sooner Or Later,bbmak,0.618,218200,0.941,2.51e-06,0.0755,-3.119,1,back here,51,0.0341,104.774,0.929,2000.0,pre_ai
43,0.484,Southern Hummingbird (U.S. Version),tweet,0.552,177373,0.706,6.49e-05,0.074,-8.117,0,call me,44,0.363,167.468,0.721,2002.0,pre_ai
33,0.373,Born to Do It,craig david,0.683,257200,0.748,0.00881,0.06,-6.981,1,fill me in,58,0.0366,132.486,0.828,2000.0,pre_ai
36,0.23,Born to Do It,craig david,0.659,235133,0.812,0.0,0.0951,-7.499,0,7 days,72,0.0487,83.013,0.888,2000.0,pre_ai
39,0.196,Born to Do It,craig david,0.596,204867,0.686,0.0,0.121,-6.371,0,walking away,61,0.0345,172.835,0.815,2000.0,pre_ai
88,0.000301,Hits,new found glory,0.388,222400,0.979,1.78e-06,0.178,-3.126,1,my friends over you,33,0.11,177.807,0.486,2002.0,pre_ai
64,0.0118,Mark Chesnutt,mark chesnutt,0.398,201173,0.54,0.0,0.0684,-9.31,1,she was,0,0.0276,177.168,0.447,2002.0,pre_ai
77,0.165,West Side Heavy Hitter,wc,0.916,207120,0.649,0.00139,0.0629,-8.428,0,the streets,22,0.168,97.112,0.619,2002.0,pre_ai
158,0.0783,History (Mixed By DJ Miss Mel-A),erick sermon,0.73,88500,0.71,0.0,0.268,-6.03,1,react,22,0.433,98.984,0.778,2002.0,pre_ai
175,0.187,Music,erick sermon,0.897,223133,0.466,1.35e-06,0.0757,-9.053,0,music,1,0.203,100.01,0.884,2001.0,pre_ai
96,0.00947,The Heat,toni braxton,0.739,261933,0.947,2.99e-05,0.326,-1.915,0,he wasn't man enough,49,0.0412,88.009,0.763,2000.0,pre_ai
98,0.44,The Heat,toni braxton,0.624,289000,0.562,5.19e-06,0.175,-6.504,0,spanish guitar,39,0.0387,120.043,0.38,2000.0,pre_ai
99,0.274,The Heat,toni braxton,0.753,288933,0.45,2e-06,0.321,-6.909,1,just be a man about it,28,0.0924,109.405,0.56,2000.0,pre_ai
138,0.056,Phrenology,the roots,0.546,447440,0.71,0.19,0.111,-8.22,0,break you off,48,0.127,165.544,0.268,2002.0,pre_ai
15,0.122,Lord Willin',clipse,0.592,264760,0.77,1.22e-06,0.103,-3.402,1,grindin',57,0.318,191.692,0.361,2002.0,pre_ai
19,0.514,Lord Willin',clipse,0.847,254307,0.884,0.0,0.303,-3.326,1,when the last time,50,0.245,99.036,0.845,2002.0,pre_ai
40,0.1,Live At Billy Bob's Texas,mark wills,0.36,326060,0.71,4.44e-06,0.884,-12.524,1,19 somethin',29,0.0606,184.084,0.523,2002.0,pre_ai
87,0.187,Permanently,mark wills,0.621,246493,0.475,0.0,0.0609,-9.341,1,back at one,43,0.0265,129.891,0.319,2000.0,pre_ai
24,0.0262,3D,tlc,0.677,231373,0.92,5.08e-05,0.173,-5.013,1,damaged,38,0.0304,95.006,0.711,2002.0,pre_ai
1,0.0303,200 KM/H In The Wrong Lane,t.a.t.u.,0.522,213867,0.833,0.00233,0.103,-5.779,0,all the things she said,52,0.0431,180.148,0.421,2002.0,pre_ai
147,0.00351,Quality,talib kweli,0.659,227427,0.925,0.0,0.146,-4.76,1,get by,58,0.388,90.19,0.77,2003.0,pre_ai
479,0.136,Say You Will,fleetwood mac,0.604,250760,0.759,1.38e-05,0.101,-4.896,0,peacekeeper,53,0.0317,127.208,0.671,2003.0,pre_ai
234,0.00821,Philadelphia Freeway,freeway,0.568,229107,0.893,0.0,0.308,-4.796,1,what we do,54,0.33,188.84,0.326,2002.0,pre_ai
236,0.106,Philadelphia Freeway,freeway,0.524,236707,0.966,0.0,0.19,-2.75,0,flipside,49,0.456,86.487,0.67,2003.0,pre_ai
26,0.216,Almas Del Silencio,ricky martin,0.512,279227,0.615,0.0,0.123,-5.318,1,tal vez,57,0.0319,115.884,0.193,2003.0,pre_ai
136,0.0109,Sound Loaded,ricky martin,0.506,233173,0.951,7.18e-05,0.0536,-4.305,0,loaded,0,0.0796,199.811,0.748,2001.0,pre_ai
11,0.529,Completely,diamond rio,0.475,228000,0.663,0.0,0.0928,-7.415,1,beautiful mess,0,0.0359,177.44,0.475,2002.0,pre_ai
87,0.592,One More Day,diamond rio,0.668,216173,0.405,0.0,0.115,-7.629,1,one more day,29,0.0277,131.064,0.234,2001.0,pre_ai
34,0.219,Floetic,floetry,0.74,268373,0.404,1.41e-06,0.128,-12.947,0,say yes,59,0.0761,117.887,0.427,2003.0,pre_ai
120,0.0479,No Holding Back,wayne wonder,0.495,202013,0.819,0.000215,0.177,-5.656,0,no letting go,63,0.0444,100.213,0.318,2003.0,pre_ai
